item,Description,size decimal,Chop,join,cost,group
L-3273,Orange,0.500,5.04,6.30,3.28,Wood
L-3274,Lime green,0.500,5.04,6.30,3.28,Wood
L-3275,Raspberry,0.500,5.04,6.30,3.28,Wood
L-3276,Light blue,0.500,5.04,6.30,3.28,Wood
L-3278,Black with red edges,2.000,12.25,15.31,7.96,Wood
L-3279,Black with red edges,1.250,7.87,9.84,5.12,Wood
L-3280,Black with red edges,1.500,8.32,10.40,5.41,Wood
L-3284,Espresso tone veneer,0.750,8.89,11.11,5.78,Wood
L-3285,All purpose shadow box extension,0.750,6.28,7.85,4.08,Wood
L-3286,Ebony tone veneer,0.750,8.89,11.11,5.78,Wood
L-3287,Rich mahogany tone veneer,0.750,8.89,11.11,5.78,Wood
L-3288,Black with gold lines,1.250,9.12,11.40,5.93,Wood
L-3290,Black with silver lines,1.250,9.12,11.40,5.93,Wood
L-3291,Gold with black edges,1.250,9.10,11.38,5.92,Wood
L-3292,Dusty black,0.750,7.89,9.86,5.13,Wood
L-3293,Brown with black wash,0.750,7.89,9.86,5.13,Wood
L-3297,Bronze,0.750,9.46,11.83,6.15,Wood
L-3300,Silver with black wash,0.750,9.46,11.83,6.15,Wood
L-3301,Silver,0.750,9.46,11.83,6.15,Wood
L-3303,Ebony tone veneer,1.500,11.51,14.39,7.48,Wood
L-3304,Rich mahogany tone veneer,1.500,11.51,14.39,7.48,Wood
L-3312,All purpose shadow box extension,0.750,9.73,12.16,6.32,Wood
L-3319,Dusty black,1.625,12.78,15.98,8.31,Wood
L-3320,Brown with black wash,1.625,12.78,15.98,8.31,Wood
L-3323,Ebony tone veneer,1.000,10.77,13.46,7.00,Wood
L-3324,Rich mahogany tone veneer,1.000,10.77,13.46,7.00,Wood
L-3325,Espresso tone veneer,1.000,10.77,13.46,7.00,Wood
L-3328,Pewter,1.625,14.84,18.55,9.65,Wood
L-3329,Bronze,1.625,14.84,18.55,9.65,Wood
L-3330,Silver with black wash,1.625,14.84,18.55,9.65,Wood
L-3331,Silver,1.625,14.84,18.55,9.65,Wood
L-3342,Rich mahogany tone veneer,1.750,16.99,21.24,11.04,Wood
L-3343,Espresso tone veneer,1.750,16.99,21.24,11.04,Wood
L-3351,Floater pewter,0.750,15.24,19.05,9.91,Wood
L-3352,Floater bronze,0.750,15.24,19.05,9.91,Wood
L-3354,Floater matte black,0.750,13.92,17.40,9.05,Wood
L-3355,Floater deep brown,0.750,15.74,19.68,10.23,Wood
L-3357,Floater silver,0.750,15.24,19.05,9.91,Wood
L-3358,White,0.500,5.63,7.04,3.66,Wood
L-3359,White,1.500,8.00,10.00,5.20,Wood
L-3360,White,1.000,7.28,9.10,4.73,Wood
L-3361,White,0.750,8.00,10.00,5.20,Wood
L-3362,White,2.500,12.37,15.46,8.04,Wood
L-3363,Floater white,0.375,12.24,15.30,7.96,Wood
L-3364,Mahogany Okoume Veneer,3.000,25.53,31.91,16.59,Wood
L-3366,Black,1.250,7.26,9.08,4.72,Wood
L-3367,Black,0.750,8.06,10.08,5.24,Wood
L-3368,Black,1.750,6.57,8.21,4.27,Wood
L-3369,Black,1.250,4.19,5.24,2.72,Wood
L-3370,Black,1.500,5.89,7.36,3.83,Wood
L-3371,Black,1.750,8.09,10.11,5.26,Wood
L-3372,Black,0.750,3.42,4.28,2.22,Wood
L-3373,Silver,2.250,24.49,30.61,15.92,Wood
L-3374,Black with gold highlights,2.250,24.49,30.61,15.92,Wood
L-3376,Silver,1.250,13.29,16.61,8.64,Wood
L-3378,Bronze with gold highlights,1.250,13.35,16.69,8.68,Wood
L-3379,Black,1.000,4.91,6.14,3.19,Wood
L-3380,Black,1.750,7.71,9.64,5.01,Wood
L-3381,Black,1.250,6.50,8.13,4.23,Wood
L-3384,Worn Brown Barnwood,0.625,6.20,7.75,4.03,Wood
L-3385,Worn Brown Barnwood,1.000,7.35,9.19,4.78,Wood
L-3386,Worn Brown Barnwood,1.500,9.37,11.71,6.09,Wood
L-3387,Worn Brown Barnwood,0.750,9.37,11.71,6.09,Wood
L-3388,Gold Cross,1.875,18.25,22.81,11.86,Wood
L-3389,Gold Cross,1.000,10.33,12.91,6.71,Wood
L-3390,Stretcher 1.5 W X .5 T,1.500,5.49,6.86,3.57,Wood
L-3391,Stretcher 1 W x 1 5/8 T,1.000,6.33,7.91,4.11,Wood
L-3392,Weathered Brown,1.250,9.53,11.91,6.19,Wood
L-3393,Weathered Brown,1.625,10.13,12.66,6.58,Wood
L-3394,Weathered Brown,1.000,6.79,8.49,4.41,Wood
L-3396,Weathered Black,1.250,9.53,11.91,6.19,Wood
L-3397,Weathered Black,1.625,10.13,12.66,6.58,Wood
L-3398,Weathered Black,1.000,6.79,8.49,4.41,Wood
L-3399,Weathered Black,2.000,13.82,17.28,8.98,Wood
L-3400,Floater matte black,0.750,17.70,22.13,11.51,Wood
L-3401,Floater white,0.750,18.24,22.80,11.86,Wood
L-3402,Star of David,1.125,10.95,13.69,7.12,Wood
L-3403,Antique Gold Horses,1.000,12.14,15.18,7.89,Wood
L-3404,Black on White Birch,1.000,11.81,14.76,7.68,Wood
L-3405,Brown on white Birch,1.000,11.46,14.33,7.45,Wood
L-3406,Black on Ash,1.000,12.01,15.01,7.81,Wood
L-3408,Wind Swept Black,0.625,6.20,7.75,4.03,Wood
L-3409,Wind Swept Black,1.000,7.35,9.19,4.78,Wood
L-3410,Wind Swept Black,1.500,9.37,11.71,6.09,Wood
L-3411,Wind Swept Black,0.750,9.37,11.71,6.09,Wood
L-3412,Antique Silver Horses,1.000,12.14,15.18,7.89,Wood
L-3413,Aged Wood Horses,1.000,11.70,14.63,7.61,Wood
L-3414,Driftwood,0.625,6.20,7.75,4.03,Wood
L-3415,Driftwood,1.000,7.35,9.19,4.78,Wood
L-3416,Driftwood,1.500,9.37,11.71,6.09,Wood
L-3417,Driftwood,0.750,9.37,11.71,6.09,Wood
L-3418,Brown Floater,0.375,14.34,17.93,9.32,Wood
L-3419,Black Floater,0.375,11.52,14.40,7.49,Wood
L-3420,Yellow,0.750,6.77,8.46,4.40,Wood
L-3421,Blue  ,0.750,6.77,8.46,4.40,Wood
L-3422,Green  ,0.750,6.77,8.46,4.40,Wood
L-3423,Sand,0.750,6.77,8.46,4.40,Wood
L-3424,Red,0.750,6.77,8.46,4.40,Wood
L-3425,White,0.750,6.77,8.46,4.40,Wood
L-3426,Black,0.750,6.77,8.46,4.40,Wood
L-3427,Silver Twilight,1.625,13.09,16.36,8.51,Wood
L-3428,Silver Twilight,1.000,7.55,9.44,4.91,Wood
L-3429,Silver Twilight,0.375,6.72,8.40,4.37,Wood
L-3430,Tuscany Nights,1.625,13.14,16.43,8.54,Wood
L-3431,Tuscany Nights,1.000,7.54,9.43,4.90,Wood
L-3433,Grey Barnwood,0.625,6.20,7.75,4.03,Wood
L-3434,Grey Barnwood,1.000,7.35,9.19,4.78,Wood
L-3435,Grey Barnwood,1.500,9.37,11.71,6.09,Wood
L-3436,Grey Barnwood,0.750,9.37,11.71,6.09,Wood
L-3437,Cherry,0.750,10.57,13.21,6.87,Wood
L-3438,Mahogany,0.750,10.57,13.21,6.87,Wood
L-3439,Black Lacquer,0.750,7.47,9.34,4.86,Wood
L-3441,Matte Black,2.375,12.68,15.85,8.24,Wood
L-3442,Matte Black,2.375,10.94,13.68,7.11,Wood
L-3443,Matte Black,0.500,4.31,5.39,2.80,Wood
L-3444,Matte White,0.500,4.66,5.83,3.03,Wood
L-3445,Black Lacquer,0.500,5.27,6.59,3.43,Wood
L-3446,White Lacquer,0.500,5.26,6.58,3.42,Wood
L-3447,Black,0.875,5.19,6.49,3.37,Wood
L-3448,Grey,0.500,5.58,6.98,3.63,Wood
L-3449,Grey,1.000,7.25,9.06,4.71,Wood
L-3453,White,1.250,5.55,6.94,3.61,Wood
L-3454,White,0.750,5.16,6.45,3.35,Wood
L-3455,Aged Copper,0.500,7.08,8.85,4.60,Wood
L-3457,Aged Gold,0.500,7.08,8.85,4.60,Wood
L-3458,Aged Silver,0.500,7.08,8.85,4.60,Wood
L-3459,Aged Copper,1.000,8.03,10.04,5.22,Wood
L-3460,Aged Bronze,1.000,8.03,10.04,5.22,Wood
L-3461,Aged Gold ,1.000,8.03,10.04,5.22,Wood
L-3462,Aged Silver,1.000,8.03,10.04,5.22,Wood
L-3464,Antique Silver,0.500,6.37,7.96,4.14,Wood
L-3465,Black,0.500,5.57,6.96,3.62,Wood
L-3466,Antique Bronze,0.500,6.37,7.96,4.14,Wood
L-3470,Taupe,0.500,5.58,6.98,3.63,Wood
L-3471,Taupe,1.000,7.25,9.06,4.71,Wood
L-3473,White Lacquer,0.750,7.83,9.79,5.09,Wood
L-3474,Black on White Birch,0.500,8.95,11.19,5.82,Wood
L-3475,Brown on white Birch,0.500,8.95,11.19,5.82,Wood
L-3478,Urban Brown,0.625,7.56,9.45,4.91,Wood
L-3479,Urban Black/Silver Wipe,0.625,7.56,9.45,4.91,Wood
L-3480,Black with Blue lines,0.500,6.18,7.73,4.02,Wood
L-3481,Black with Red Lines,0.500,6.18,7.73,4.02,Wood
L-3482,Black Floater,0.500,14.95,18.69,9.72,Wood
L-3483,White Floater,0.500,15.41,19.26,10.02,Wood
L-3484,Bluish Grey Mist,1.250,8.52,10.65,5.54,Wood
L-3485,Arabian Bronze Mist,1.250,8.52,10.65,5.54,Wood
L-3486,Urban Graphite Mist,1.250,8.52,10.65,5.54,Wood
L-3487,Mossy Green Mist,1.250,8.52,10.65,5.54,Wood
L-3488,Smokey Gray,1.625,9.75,12.19,6.34,Wood
L-3489,Earthen Cashew,1.625,9.75,12.19,6.34,Wood
L-3490,Grizzly Brown,1.625,9.75,12.19,6.34,Wood
L-3491,Twilight Black,1.625,9.75,12.19,6.34,Wood
L-3492,Blue  ,0.750,5.98,7.48,3.89,Wood
L-3493,Warm Cedar,0.750,5.98,7.48,3.89,Wood
L-3494,Red,0.750,5.98,7.48,3.89,Wood
L-3497,Seaside White,0.750,5.98,7.48,3.89,Wood
L-3498,Washed Grey,0.750,5.98,7.48,3.89,Wood
L-3499,Earthen Brown,0.750,5.98,7.48,3.89,Wood
L-3500,Night Grey,0.750,5.98,7.48,3.89,Wood
L-3501,Hobbit Brown,0.750,5.98,7.48,3.89,Wood
L-3502,Rough Black,1.750,10.99,13.74,7.14,Wood
L-3503,Walnut Wicker,0.750,6.72,8.40,4.37,Wood
L-3504,Etched Black,0.500,5.81,7.26,3.78,Wood
L-3505,Etched Black,1.125,6.37,7.96,4.14,Wood
L-3506,Grizzly Brown,1.625,11.20,14.00,7.28,Wood
L-3511,Black with Purple Lines,0.500,6.83,8.54,4.44,Wood
L-3512,Black with Silver Lines,0.500,6.83,8.54,4.44,Wood
L-3513,Black with Green Lines,0.500,6.83,8.54,4.44,Wood
L-3514,Black with Yellow Lines,0.500,6.83,8.54,4.44,Wood
L-3515,Black with Orange Lines,0.500,6.83,8.54,4.44,Wood
L-3517,Black with Electric green Lines,0.500,6.83,8.54,4.44,Wood
L-3518,Black on White Birch,1.625,14.17,17.71,9.21,Wood
L-3519,Brown on White Birch,1.625,14.17,17.71,9.21,Wood
L-3520,Sunset Red on White Birch,1.000,11.44,14.30,7.44,Wood
L-3521,Urban Teal on White Birch,1.000,11.44,14.30,7.44,Wood
L-3522,Spring Green on White Birch,1.000,11.44,14.30,7.44,Wood
L-3523,Warm Lapis on White Birch,1.000,11.44,14.30,7.44,Wood
L-3526,Black with Silver,0.500,5.66,7.08,3.68,Wood
L-3527,Black with Bronze,0.500,5.66,7.08,3.68,Wood
L-3528,Black,0.500,5.66,7.08,3.68,Wood
L-3529,Black with Gold,0.500,5.66,7.08,3.68,Wood
L-3530,Twilight Black,1.625,10.40,13.00,6.76,Wood
L-3531,Brown Timber,0.500,6.89,8.61,4.48,Wood
L-3532,Grey Timber,0.500,6.89,8.61,4.48,Wood
L-3533,Etched Black,1.375,10.14,12.68,6.59,Wood
L-3534,Smokey Gray,1.250,11.18,13.98,7.27,Wood
L-3535,Grizzly Brown,1.250,11.18,13.98,7.27,Wood
L-3536,Washed White,1.250,11.18,13.98,7.27,Wood
L-3537,Twilight Black,1.250,11.18,13.98,7.27,Wood
L-3538,Smokey Gray,0.500,6.70,8.38,4.36,Wood
L-3539,Grizzly Brown,0.500,6.70,8.38,4.36,Wood
L-3540,Twilight Black,0.500,6.70,8.38,4.36,Wood
L-3541,Washed White,0.500,6.70,8.38,4.36,Wood
L-3542,Paws,0.750,7.42,9.28,4.82,Wood
L-3543,Black/bronze Highlights,1.625,13.74,17.18,8.93,Wood
L-3544,Gold,1.000,15.16,18.95,9.85,Wood
L-3545,Silver,1.000,15.16,18.95,9.85,Wood
L-3546,Slate,1.000,15.16,18.95,9.85,Wood
L-3547,Warm Earthen Tone,1.500,12.70,15.88,8.26,Wood
L-3548,Warm Shade Grey,1.500,12.70,15.88,8.26,Wood
L-3549,Smooth Muted Black/Silver lip,1.500,12.70,15.88,8.26,Wood
L-3550,Corporate Silver,1.500,12.70,15.88,8.26,Wood
L-3551,Copper tone,1.500,12.70,15.88,8.26,Wood
L-3552,Warm Earthen Tone,0.750,8.84,11.05,5.75,Wood
L-3553,Warm Shade Grey,0.750,8.84,11.05,5.75,Wood
L-3554,Smooth Muted Black/Silver lip,0.750,8.84,11.05,5.75,Wood
L-3555,Corporate Silver,0.750,8.84,11.05,5.75,Wood
L-3556,Copper tone,0.750,8.84,11.05,5.75,Wood
L-3557,Fall Frost,1.875,13.94,17.43,9.06,Wood
L-3558,Fall Frost,1.000,9.38,11.73,6.10,Wood
L-3559,Ironclad Buckler,1.750,15.24,19.05,9.91,Wood
L-3560,Forged Bronze,1.250,12.48,15.60,8.11,Wood
L-3561,Forged gold,1.250,12.48,15.60,8.11,Wood
L-3562,Forged Silver,1.250,12.48,15.60,8.11,Wood
L-3563,Forged Tungston,1.250,12.48,15.60,8.11,Wood
L-3564,Bronze Buckler,1.750,15.24,19.05,9.91,Wood
L-3565,Bronze Belindo,2.250,15.69,19.61,10.20,Wood
L-3566,Silver Smaug,2.250,15.69,19.61,10.20,Wood
L-3567,Shell White,0.750,10.43,13.04,6.78,Wood
L-3568,Highland Brown,0.750,10.43,13.04,6.78,Wood
L-3569,Purple Haze,0.750,10.66,13.33,6.93,Wood
L-3570,Aqua Obscure,0.750,10.66,13.33,6.93,Wood
L-3571,Red Delicious,0.750,10.66,13.33,6.93,Wood
L-3572,Malachite,0.750,10.66,13.33,6.93,Wood
L-3573,Hewn Black,1.250,10.99,13.74,7.14,Wood
L-3574,Hewn White,1.250,10.99,13.74,7.14,Wood
L-3575,Hewn Brown,1.250,10.99,13.74,7.14,Wood
L-3576,Shell White,0.875,7.23,9.04,4.70,Wood
L-3577,Highland Brown,0.875,7.23,9.04,4.70,Wood
L-3578,Purple Haze,0.875,7.20,9.00,4.68,Wood
L-3579,Aqua Obscura,0.875,7.20,9.00,4.68,Wood
L-3580,Red Delicious,0.875,7.20,9.00,4.68,Wood
L-3581,Malachite,0.875,7.20,9.00,4.68,Wood
L-3582,Smoky Haze,0.875,7.23,9.04,4.70,Wood
L-3583,Shale,0.875,7.23,9.04,4.70,Wood
L-3584,Shale,0.750,10.43,13.04,6.78,Wood
L-3585,Silver Rose,0.750,9.17,11.46,5.96,Wood
L-3586,Pumpkin Patch,0.750,10.66,13.33,6.93,Wood
L-3587,Pumpkin Patch,0.875,7.20,9.00,4.68,Wood
L-3588,Gold Lareth,2.250,15.69,19.61,10.20,Wood
L-5000,Black With Tan Lines,0.500,6.83,8.54,4.44,Wood
L-5002,Black with Bronze Highlights,2.750,20.87,26.09,13.57,Wood
L-5003,Urban Gold,0.625,7.56,9.45,4.91,Wood
L-5004,Urban Quicksilver,0.625,7.56,9.45,4.91,Wood
L-5005,Urban Moonstone,0.625,7.56,9.45,4.91,Wood
L-5006,Urban Jupiter,0.625,7.56,9.45,4.91,Wood
L-5007,Black with Bronze Highlights,0.750,8.26,10.33,5.37,Wood
L-5008,Edgewater,0.500,6.18,7.73,4.02,Wood
L-5009,Aruba,0.500,6.18,7.73,4.02,Wood
L-5010,Sea Green  ,0.500,6.18,7.73,4.02,Wood
L-5011,Boardwalk Grey,0.500,6.18,7.73,4.02,Wood
L-5012,Moon Pearl,0.500,6.18,7.73,4.02,Wood
L-5014,Noir Lacquer,0.875,9.36,11.70,6.08,Wood
L-5015,Artic Lacquer,0.875,9.36,11.70,6.08,Wood
L-5016,Robbins Egg Blue Lacquer,0.875,9.36,11.70,6.08,Wood
L-5017,Coral Lacquer,0.875,9.36,11.70,6.08,Wood
L-5018,Daffodil Yellow Lacquer,0.875,9.36,11.70,6.08,Wood
L-5019,Rouge Lacquer,0.875,9.36,11.70,6.08,Wood
STFH,Stretcher frame heavy,1.500,4.86,6.08,3.16,Wood
F-22,Fillet onyx,0.250,3.48,4.35,2.26,Wood
F-23,Fillet tropical red,0.250,3.88,4.85,2.52,Wood
F-24,Fillet gold,0.250,3.47,4.34,2.26,Wood
F-25,Fillet silver,0.250,3.88,4.85,2.52,Wood
F-28,Fillet mahogany with gold bead,0.375,4.03,5.04,2.62,Wood
F-31,Distressed dark gray,0.375,3.34,4.18,2.17,Wood
F-38,Fillet matte black,0.375,2.85,3.56,1.85,Wood
F-39,Fillet matte black with black bead,0.375,2.89,3.61,1.88,Wood
F-42,Fillet ebony veneer,0.375,6.32,7.90,4.11,Wood
F-44,Gray on maple veneer,0.375,3.43,4.29,2.23,Wood
F-45,Dark blue on maple veneer,0.375,3.46,4.33,2.25,Wood
F-51,White on maple veneer,0.375,3.43,4.29,2.23,Wood
F-52,White,0.375,2.96,3.70,1.92,Wood
F-54,Dark rich brown,0.375,2.96,3.70,1.92,Wood
F-55,White,0.375,2.96,3.70,1.92,Wood
F-56,Matte black,0.375,2.96,3.70,1.92,Wood
F-57,Dark rich brown,0.375,2.96,3.70,1.92,Wood
F-58,Antique Gold Stars,0.625,4.08,5.10,2.65,Wood
F-59,Antique Silver Stars,0.625,4.08,5.10,2.65,Wood
F-60,Black/ Gold stars,0.625,4.08,5.10,2.65,Wood
F-61,Happy Feet Sandy White,0.750,4.08,5.10,2.65,Wood
F-62,Happy Feet Pearl,0.750,4.37,5.46,2.84,Wood
11-01,SILVER,0.81,5.38,,3.68,Metal
11-02,FROSTED SILVER,0.81,5.38,,3.68,Metal
11-03,GOLD,0.81,5.38,,3.68,Metal
11-04,FROSTED GOLD,0.81,5.38,,3.68,Metal
11-08,FROSTED BRONZE,0.81,6.22,,4.28,Metal
11-10,GRAPHITE,0.81,6.22,,4.28,Metal
11-12,FROSTED PEWTER,0.81,6.22,,4.28,Metal
11-13,CONTRAST GRAY,0.81,6.22,,4.29,Metal
11-14,GERMAN SILVER,0.81,6.22,,4.28,Metal
11-20,ANODIC BLACK,0.81,6.22,,4.28,Metal
11-21,MATTE BLACK,0.81,6.22,,4.28,Metal
11-23,ANTIQUE GOLD,0.81,5.38,,3.68,Metal
11-50,BLACK,0.81,5.38,,3.68,Metal
11-154,FLORENTINE GRAY X,0.81,6.27,,4.31,Metal
11-156,FLORENTINE BLACK,0.81,6.27,,4.31,Metal
12-02,FROSTED SILVER X,1.000,6.22,,4.28,Metal
12-21,MATTE BLACK,1.000,6.99,,4.81,Metal
13-14,GERMAN SILVER(CUT INSTRUCTIONS) X,1.250,7.74,,5.32,Metal
13-21,MATTE BLACK (CUT INSTRUCTIONS),1.250,7.74,,5.32,Metal
14-14,GERMAN SILVER(CUT INSTRUCTIONS),1.870,12.62,,8.69,Metal
14-21,MATTE BLACK(CUTTING INSTRUCTIONS) X,1.870,12.62,,8.69,Metal
15-01,SILVER,1.00,5.90,,4.06,Metal
15-02,FROSTED SILVER,1.00,5.90,,4.06,Metal
15-03,GOLD,1.00,5.90,,4.06,Metal
15-04,FROSTED GOLD,1.00,5.90,,4.06,Metal
15-08,FROSTED BRONZE,1.00,6.67,,4.58,Metal
15-10,GRAPHITE,1.00,6.67,,4.58,Metal
15-12,FROSTED PEWTER,1.00,6.67,,4.58,Metal
15-13,CONTRAST GRAY,1.00,6.67,,4.58,Metal
15-14,GERMAN SILVER,1.00,6.67,,4.58,Metal
15-19,FROSTED WALNUT,1.00,6.67,,4.58,Metal
15-20,ANODIC BLACK,1.00,6.67,,4.58,Metal
15-21,MATTE BLACK,1.00,6.67,,4.58,Metal
15-23,ANTIQUE GOLD,1.00,5.90,,4.06,Metal
15-24,COBALT,1.00,6.67,,4.58,Metal
15-50,BLACK,1.00,5.90,,4.06,Metal
