ITEM,description,WIDTH,UPC,cost,chop,join,group
196872,"W1 COLOSSEUM II MOON GOLD 3/4""",0.75,720472199322,4.92,7.19,8.19,Wood
196874,"W1 COLOSSEUM II TITANIUM 3/4""",0.75,720472199339,4.92,7.19,8.19,Wood
196876,W1 COLOSSEUM II STEEL BLUE 3/4,0.75,720472199346,4.92,7.19,8.19,Wood
196877,"W1 COLOSSEUM SLP BL OXIDE 3/4""",0.75,720472197212,4.92,7.19,8.19,Wood
197508,W1 Lancaster II  Rev Bev Cap,0.8125,720472196475,4.59,8.27,9.27,Wood
198500,"W1 FINN CAP 9/16"" BLACK",0.5625,720472193474,4.4,7.29,8.29,Wood
198510,"W1 FINN CAP 9/16"" NATURAL",0.5625,720472193481,4.4,7.29,8.29,Wood
198520,"W1 FINN CAP 9/16"" ESPRESSO",0.5625,720472193498,4.4,7.29,8.29,Wood
200285,"W1 TRIBECA SMALL RIBBED 3/4""",0.6875,720472139694,2.39,4.35,5.35,Wood
200350,"WO BRIMFIELD SLP BLK W/DT 7/8""",0.875,720472190879,7.16,9.81,10.81,Wood
200360,"WO BRIMFIELD SLP WHT W/DT 7/8""",0.875,720472190886,7.3,9.99,10.99,Wood
200750,"W1 SOFIA BRZ SLP W/DENTIL 7/8""",0.875,720472154888,7.52,10.4,11.4,Wood
200751,"W1 SOFIA GLD SLP W/DENTIL 7/8""",0.875,720472154833,7.77,10.33,11.33,Wood
200752,"W1 SOFIA IRN SLP W/DENTIL 7/8""",0.875,720472154789,8.41,10.85,11.85,Wood
201317,"W1 DRAYTON BLK&GLD SM CAP 3/4""",0.75,720472194235,3.37,4.88,5.88,Wood
202110,"W1 STITCH LT. TANGERINE 3/4""",0.75,720472173469,6.37,11.73,12.73,Wood
202113,"W1 STITCH LT CITRON GREEN 3/4""",0.75,720472173476,6.2,11.43,12.43,Wood
202118,"W1 STITCH DK ROYAL BLUE 3/4""",0.75,720472173513,5.61,10.33,11.33,Wood
202123,"W1 STITCH BLACK 3/4""",0.75,720472173537,5.54,10.21,11.21,Wood
203235,"W1 ACADEMIE GOLD 3/4""",0.75,720472139267,4.47,6.84,7.84,Wood
203237,"W1 ACADEMIE SILVER 3/4""",0.75,720472139274,4.49,6.86,7.86,Wood
203239,"W1 ACADEMIE BLACK W/GOLD 3/4""",0.75,720472139281,4.46,6.83,7.83,Wood
204706,"W1 OLSEN MAPLE CAP 3/4""",0.75,720472199810,5.41,7.52,8.52,Wood
204708,"W1 OLSEN OAK CAP 3/4""",0.75,720472199827,5.41,7.52,8.52,Wood
206180,"W1 HUDSON GOLD SCP W/BEAD 7/8""",0.875,720472172752,5.21,8.93,9.93,Wood
206190,"W1 HUDSON SILV SCP W/BEAD 7/8""",0.875,720472172769,5.08,8.69,9.69,Wood
206200,"W1 HUDSON II IVORY SCP 7/8""",0.875,720472183710,4.66,7.92,8.92,Wood
206220,W1 HUDSONII BLKGL SCP 7/8,0.875,720472183727,4.92,8.36,9.36,Wood
206CG,W1 CLASSIC GOLD 3/4,0.75,720472100274,5,7.9,8.9,Wood
206S,W1 SILVER 3/4,0.75,720472100281,5,7.9,8.9,Wood
207234,"W1 MODERNE GOLD CAP 3/4""",0.75,720472196758,3.07,4.45,5.45,Wood
207236,"W1 MODERNE SILVER CAP 3/4""",0.75,720472196765,3.07,4.45,5.45,Wood
207650,"W0 TATE BLACK CAP 3/4""",0.75,720472181150,3.59,4.84,5.84,Wood
207660,"W0 TATE SILVER CAP 3/4""",0.75,720472181167,3.54,4.84,5.84,Wood
207670,"W0 TATE GOLD CAP 3/4""",0.75,720472182409,4.51,6.01,7.01,Wood
208710,"ALDEN EBON WALNUT CURVE 3/4""",0.75,720472199858,7.84,12.54,13.54,Wood
208712,"ALDEN DK WALNUT CURVE 3/4""",0.75,720472199865,7.84,12.54,13.54,Wood
208CG,W1 CLASSIC GOLD 3/4,0.75,720472100298,5,7.9,8.9,Wood
208CS,W1 CLASSIC SILVER 3/4,0.75,720472100304,5,7.9,8.9,Wood
209706,"W2 OLSEN MAPLE CUBE 1 3/16""",1.1875,720472199735,7.6,10.58,11.58,Wood
209708,"W2 OLSEN OAK CUBE 1 3/16""",1.1875,720472199742,7.6,10.58,11.58,Wood
210124,W1 RAVELLO CRSGRN MAPLE CP 3/4,0.75,720472197021,3.45,5.52,6.52,Wood
210125,"W1 RAVELLO ELM BURL CAP 3/4""",0.75,720472197038,3.45,5.52,6.52,Wood
210126,"W1 RAVELLO DANIELA WAL CP 3/4""",0.75,720472197045,3.45,5.52,6.52,Wood
210127,"W1 RAVELLO POPLAR BURL CP 3/4""",0.75,720472197052,3.45,5.52,6.52,Wood
210128,W1 RAVELLO BIRDSEYE MAP CP 3/4,0.75,720472197069,3.45,5.52,6.52,Wood
210247,"W1 RENZO BLONDE BURL CAP 3/4""",0.75,720472197915,5.78,8.05,9.05,Wood
210285,"W1 TRIBECA SQUARE CAP 3/4""",0.6875,720472139700,3.14,5.44,6.44,Wood
210286,"W1 WHITE SQUARE CAP 3/4""",0.6875,720472142625,3.52,6.29,7.29,Wood
210440,"W1 BAUHAUS II WHITE 3/4""",0.75,720472199032,6.41,7.31,8.31,Wood
210450,"W1 BAUHAUS II BLACK 3/4""",0.75,720472199049,6.19,7.07,8.07,Wood
210G,W1 GOLD 7/8,0.875,720472100311,5.21,8.2,9.2,Wood
211317,"W1 DRAYTON BLK&GLD LG CAP 3/4""",0.8125,720472194242,3.75,5.44,6.44,Wood
212285,"W1 TRIBECA SMALL BEVELED 7/8""",0.8125,720472139717,2.7,4.94,5.94,Wood
212403,"W1 WHITMAN BLACK FLAT 3/4""",0.75,720472181495,7.29,10.22,11.22,Wood
212405,"W1 WHITMAN TORTOISE  3/4""",0.75,720472181501,7.45,10.21,11.21,Wood
213403,"W1 WHITMAN Silver3/4""",0.75,720472181518,7.23,10.06,11.06,Wood
214234,"W1 MODERNE GOLD TALL CAP 3/4""",0.75,720472196772,4.27,6.19,7.19,Wood
214236,"W1 MODERNE SILV TALL CAP 3/4""",0.75,720472196789,4.27,6.19,7.19,Wood
214650,"W1 TATE BLACK CAP 11/16""",0.6875,720472181174,4.36,6.37,7.37,Wood
214660,"W1 TATE SILVER CAP 11/16""",0.6875,720472181181,4.36,6.37,7.37,Wood
214670,"W1 TATE GOLD CAP 11/16""",0.6875,720472182416,6.06,8.9,9.9,Wood
215680,"W0 ARTIFACT ANT GREY BB 5/8""",0.625,720472142335,9.72,14.19,15.19,Wood
216180,"W1 HUDSON GOLD WHISTLER 13/16""",0.8125,720472172639,4.86,8.32,9.32,Wood
216190,W1 HUDSON SILVER WHISTLR 13/16,0.8125,720472172646,4.72,8.03,9.03,Wood
217680,"W0 ARTIFACT ANT GREY GK 7/8""",0.875,720472139229,10.12,14.78,15.78,Wood
217682,"W0 ARTIFACT ANT BLACK GK 7/8""",0.875,720472139236,10.12,14.78,15.78,Wood
220940,"W1 GALLERY 1 BLACK CAP 11/16""",0.6875,720472159722,4.62,7.38,8.38,Wood
220941,"W1 GALLERY 1 WHITE CAP 11/16""",0.6875,720472159739,4.62,7.38,8.38,Wood
221276,"W1 MILO MAPLE SM CAP 5/8""",0.625,720472199452,4.39,5.74,6.74,Wood
221277,"W1 MILO WALNUT SM CAP 5/8""",0.625,720472199490,4.39,5.74,6.74,Wood
221278,W1 MILO CERUSED OAK SM CAP 5/8,0.625,720472199537,4.16,5.44,6.44,Wood
221516,"W1 ANSLEY CHERRY CAP 5/8""",0.625,720472178877,4.75,7.51,8.51,Wood
221517,"W1 ANSLEY COFFEE CAP 5/8""",0.625,720472178884,4.68,7.39,8.39,Wood
221518,"W1 ANSLEY GREY CAP 5/8""",0.625,720472178891,3.93,6.79,7.79,Wood
221519,"W1 ANSLEY MAHOGANY CAP 5/8""",0.625,720472178907,4.75,7.51,8.51,Wood
221520,"W1 ANSLEY NATURAL CAP 5/8""",0.625,720472178914,4.72,7.43,8.43,Wood
221521,"W1 ANSLEY WALNUT CAP 5/8""",0.625,720472178921,4.68,7.39,8.39,Wood
221526,"W1 ANSLEY BLACK CAP 5/8""",0.625,720472179218,4.8,7.56,8.56,Wood
222940,"W1 GALLERY 1 BLACK CAP 3/4""",0.75,720472159746,5.16,8.27,9.27,Wood
222941,"W1 GALLERY 1 WHITE CAP 3/4""",0.75,720472159753,5.16,8.27,9.27,Wood
223146,"W1 KYOTO BLACK 3/4""",0.75,720472139168,6.45,9.43,10.43,Wood
223147,"W1 KYOTO NATURAL 3/4""",0.75,720472139175,6.45,9.43,10.43,Wood
223148,"W1 KYOTO GREY 3/4""",0.75,720472139182,6.45,9.43,10.43,Wood
224963,"W1 PETITE GOLD 3/4""",0.75,720472160490,8.17,12.25,13.25,Wood
224965,"W1 PETITE BLACK 3/4""",0.75,720472160506,6.64,10.56,11.56,Wood
224967,"W1 PETITE SILVER 3/4""",0.75,720472160513,6.44,11.43,12.43,Wood
225482,"W0 JASPER BLACK CAP 5/8""",0.625,720472199155,2.96,4.39,5.39,Wood
225484,"W0 JASPER WHITE CAP 5/8""",0.625,720472199162,3.31,5.02,6.02,Wood
226180,"W1 HUDSON GOLD SCOOP 13/16""",0.8125,720472172653,4.58,7.82,8.82,Wood
226190,"W1 HUDSON SILVER SCOOP 13/16""",0.8125,720472172660,4.46,7.62,8.62,Wood
226210,W1 HUDSON II BLK SCOOP 13/16,0.8125,720472183758,4.31,7.35,8.35,Wood
227276,"W0 MILO MAPLE MED CAP 3/4""",0.75,720472199469,5.21,6.8,7.8,Wood
227277,"W0 MILO WALNUT MED CAP 3/4""",0.75,720472199506,5.21,6.8,7.8,Wood
227278,W0 MILO CERUSED OAK MD CAP 3/4,0.75,720472199544,4.91,6.42,7.42,Wood
227516,"W0 ANSLEY CHERRY SM CAP 3/4""",0.75,720472144346,5.11,7.8,8.8,Wood
227517,"W0 ANSLEY COFFEE SM CAP 3/4""",0.75,720472144353,5.21,7.96,8.96,Wood
227519,"W0 ANSLEY MAHOGANY SM CAP 3/4""",0.75,720472144377,4.99,7.6,8.6,Wood
227526,"W0 ANSLEY BLACK SM CAP 3/4""",0.75,720472180030,4.89,7.5,8.5,Wood
229602,"W1 WALNUT BURL/REV 7/8""",0.8125,720472126380,7.75,11.13,12.13,Wood
230130,"W1 PETITE SILVER SLANT 3/4""",0.75,720472172400,7.28,11.91,12.91,Wood
230132,"W1 PETITE BLACK SLANT 3/4""",0.75,720472172424,7.28,11.11,12.11,Wood
230285,W1 TRIBECA SM.TRAD. W/BEAD 7/8,0.8125,720472139731,3.25,5.65,6.65,Wood
230286,W1 WHITE SM.TRAD. W/BEAD 7/8,0.8125,720472142632,3.55,6.17,7.17,Wood
231482,"W1 JASPER BLACK SHADOWBOX 1""",1,720472199254,9.02,10.29,11.29,Wood
231484,"W1 JASPER WHITE SHADOWBOX 1""",1,720472199261,9.2,10.5,11.5,Wood
232403,"W0 WHITMAN SILVER CAP 3/4""",0.75,720472181525,10.96,13.51,14.51,Wood
233680,"W0 ARTIFACT ANT GREY CD 7/8""",0.875,720472142342,10.12,14.78,15.78,Wood
234927,"W1 PETITE GOLD 13/16""",0.8125,720472160575,6.84,12.31,13.31,Wood
234929,"W1 PETITE BLACK 13/16""",0.8125,720472160599,6.66,12,13,Wood
235556,"W1 FERROSA BRONZE 3/4""",0.8125,720472146562,6.83,10.34,11.34,Wood
236350,"W1 BROOKLYN BLK W/GRVS 13/16""",0.8125,720472163163,2.69,5.23,6.23,Wood
236351,"BROOKLYN WHT W/GRVS 13/16""",0.8125,720472197564,2.69,5.23,6.23,Wood
237904,"W1 METALIA BLACK 3/4""",0.75,720472129886,3.71,5.43,6.43,Wood
237905,"W1 METALIA SILVER 3/4""",0.75,720472129893,3.71,5.43,6.43,Wood
237906,"W1 METALIA GOLD 3/4""",0.75,720472129909,3.71,5.43,6.43,Wood
237907,"W1 METALIA CHAMPAGNE 3/4""",0.75,720472129916,3.71,5.43,6.43,Wood
237908,"W1 METALIA BRASS 3/4""",0.75,720472129923,3.71,5.43,6.43,Wood
237909,"W1 METALIA II GUNMETAL 3/4""",0.75,720472196864,3.55,5.68,6.68,Wood
238120,"W1 DRESDEN BLACK 15/16""",0.9375,720472163408,10.33,14.18,15.18,Wood
239680,"W0 ARTIFACT ANT GREY CR 7/8""",0.875,720472142359,10.24,14.95,15.95,Wood
240452,"W1 MUSEO GOLD 1 1/16""",1.0625,720472196574,3.25,5.2,6.2,Wood
240453,"W1 MUSEO SILVER 1 1/16""",1.0625,720472196581,3.25,5.2,6.2,Wood
240454,"W1 MUSEO BLACK 1 1/16""",1.0625,720472196598,3.04,4.86,5.86,Wood
241240,"W1 KOMODO RED SM CAP 3/4""",0.75,720472182577,5.26,7.37,8.37,Wood
241250,"W1 KOMODO BLACK SM CAP 3/4""",0.75,720472182584,5.31,7.46,8.46,Wood
242250,W1 ANDOVER PETITE BLACK 5/8,0.625,720472183123,5.57,7.27,8.27,Wood
242260,W1 ANDOVER PETITE WHITE 5/8,0.625,720472183130,5.57,7.27,8.27,Wood
242270,W1 ANDOVER PETITE SILVER 5/8,0.625,720472183147,5.57,7.27,8.27,Wood
242290,W1 ANDOVER PETITE SUEDE 5/8,0.625,720472183161,5.57,7.27,8.27,Wood
243500,"W1 ALTO BLK CAP 13/16""",0.8125,720472184250,4.35,7.04,8.04,Wood
243510,"W1 ALTO WHT CAP 13/16""",0.8125,720472184304,4.35,7.04,8.04,Wood
244500,"W1 ALTO BLK 13/16""",0.875,720472184281,3.34,5.88,6.88,Wood
244510,"W1 ALTO WHT 13/16""",0.875,720472184335,3.34,5.88,6.88,Wood
245150,"W1 SPENCER GOLD CAP    3/4""",0.75,720472184076,4.57,6.25,7.25,Wood
245151,"W1 SPENCER SIL/BRN CAP 3/4""",0.75,720472184083,4.55,6.23,7.23,Wood
245152,"W1 SPENCER SIL/BLK CAP 3/4""",0.75,720472184090,4.6,6.29,7.29,Wood
245153,"W1 SPENCER II SIL CAP 3/4""",0.75,720472198875,4.68,6.37,7.37,Wood
245154,"W1 SPENCER II GOLD CAP 3/4""",0.75,720472198943,4.68,6.37,7.37,Wood
246350,"W1 BROOKLYN BLK DOME 7/8""",0.875,720472163170,2.77,5.39,6.39,Wood
247192,"W1 DOMUS CHMPGNE SLANT 1 1/8""",1.0625,720472177689,9.43,13.09,14.09,Wood
247194,"W1 DOMUS SILVER SLANT 1 1/8""",1.0625,720472177696,8.04,12.25,13.25,Wood
248150,"W1 SPENCER GOLD TALL CAP 3/4""",0.75,720472184106,4.98,6.8,7.8,Wood
248151,"W1 SPENCER SIL/BRN LG/CAP 3/4""",0.75,720472184113,5,6.54,7.54,Wood
248153,"W1 SPENCER II SIL LG/CAP 3/4""",0.75,720472198882,6.29,8.56,9.56,Wood
248154,W1 SPENCER II GLD TALL CAP 3/4,0.75,720472198950,6.29,8.56,9.56,Wood
249500,"W1 FINN DEEP 3/4"" LIP CAP BLK",0.75,720472193511,5.85,8.17,9.17,Wood
249510,"W1 FINN DEEP 3/4"" LIP CAP NAT",0.75,720472193528,5.75,8.01,9.01,Wood
249520,"W1 FINN DEEP 3/4"" LIP CAP ESPR",0.75,720472193535,5.75,8.01,9.01,Wood
250200,"W1 AURA SM BEVEL NIMBUS  1""",1,720472191623,5.74,9.93,10.93,Wood
252234,"W1 MODERNE GOLD ROUND 13/16""",0.8125,720472196819,4.05,5.86,6.86,Wood
252236,"W1 MODERNE SILV ROUND 13/16""",0.8125,720472196826,4.05,5.86,6.86,Wood
253206,"W0 SHOJI DK WAL SM CAP 3/4""",0.75,720472199599,2.68,3.5,4.5,Wood
253208,"W0 SHOJI EB WAL SM CAP 3/4""",0.75,720472199605,2.68,3.5,4.5,Wood
254904,"W1 METALIA BLACK TALL CAP 3/4""",0.75,720472129930,6.01,8.79,9.79,Wood
254905,"W1 METALIA SILVER TL CAP 3/4""",0.75,720472129947,6.01,8.79,9.79,Wood
254906,"W1 METALIA GOLD TALL CAP 3/4""",0.75,720472129954,6.01,8.79,9.79,Wood
254907,"W1 METALIA CHAMPAGNE CAP 3/4""",0.75,720472129961,6.01,8.79,9.79,Wood
254908,"W1 METALIA BRASS TALL CAP 3/4""",0.75,720472129978,6.01,8.79,9.79,Wood
254909,W1 METALIA II GMETAL LG CP 3/4,0.75,720472196895,5.76,9.21,10.21,Wood
255482,"W1 JASPER BLK SHADOWBOX XL 1""",1,720472199278,9.33,11.67,12.67,Wood
255484,"W1 JASPER WHT SHADOWBOX XL 1""",1,720472199285,9.68,12.15,13.15,Wood
256350,"W1 BROOKLYN BLK EASTR I 13/16""",0.8125,720472163187,4.97,8.3,9.3,Wood
258602,W2 CARNIVALE FLA PINACOL 1 1/4,1.25,720472197397,4.96,9.91,10.91,Wood
258603,W2 CARNIVALE FLAT GD SUN 1 1/4,1.25,720472197403,4.97,9.93,10.93,Wood
258604,W2 CARNIVALE FLAT HB PNK 1 1/4,1.25,720472197410,4.83,9.67,10.67,Wood
258605,W2 CARNIVALE FLAT CH RED 1 1/4,1.25,720472197427,4.98,9.96,10.96,Wood
258608,W2 CARNIVALE FLAT RF BLU 1 1/4,1.25,720472197441,4.93,9.89,10.89,Wood
258609,W2 CARNIVALE FLAT SEA BL 1 1/4,1.25,720472197458,4.97,9.94,10.94,Wood
258610,W2 CARNIVALE FLAT COF BN 1 1/4,1.25,720472197465,4.99,10.01,11.01,Wood
259405,"Lars 1 9/16"" Panel Antque Slvr",1.5625,720472198455,5.3,7.74,8.74,Wood
259406,"Lars 1 9/16"" Panel Antque Gold",1.5625,720472198462,5.34,7.8,8.8,Wood
261240,"W1 KOMODO RED TALL CAP 1""",1.0625,720472182591,6.47,9.8,10.8,Wood
26202,Small Strainer stock,1.1875,720472141291,1.7,3.13,4.13,Wood
26204,Medium Strainer Stock,1.625,720472141307,2.75,4.58,5.58,Wood
26206,Large Strainer Stock,2.25,720472141314,4.34,6.34,7.34,Wood
262407,"Lars 1 3/4"" Ripple Black",1.75,720472198479,6.97,10.12,11.12,Wood
