item,description,width,rabbet,cost,chop,join,group
967IMFND,Imperial-Mod. Fres. N & D,"1""","2 1/4""",$18.00,$19.00,$21.50,Wood
967IMFP,Imperial-Mod. Fres. Pastel,"1""","2 1/4""",$18.00,$19.00,$21.50,Wood
967IMFS,Imperial-Mod. Fres. Sunset,"1""","2 1/4""",$18.00,$19.00,$21.50,Wood
967IMFSS,Imperial-Mod. Fres. Sands.,"1""","2 1/4""",$18.00,$19.00,$21.50,Wood
967IPC,Imperial - Painted Colors,"1""","2 1/4""",$13.00,$14.00,$16.50,Wood
967MFEB,Imperial-Mod. Fres. Elet. Bl,"1""","2 1/4""",$18.00,$19.00,$21.50,Wood
ARGMIR1,"Hip Squares:Argyle, P & C","2 7/8""","3/8""",N/A,N/A,$38.00,Wood
ARGMIR2,Hip Squares:Argyle B & W,"2 7/8""","3/8""",N/A,N/A,$38.00,Wood
CAP1-A,Rustic Cap-Azalea,"10/16""","13/16""",$5.70,$8.85,$10.40,Wood
CAP1-AQ,Rustic Cap-Aquamarine,"10/16""","13/16""",$5.70,$8.85,$10.40,Wood
CAP1-AZ,Rustic Cap-Azalea,"10/16""","13/16""",$5.70,$8.85,$10.40,Wood
CAP1-B,Rustic Cap-Blue Porch,"10/16""","13/16""",$5.70,$8.85,$10.40,Wood
CAP1-BB,Rustic Cap-Black Bean,"10/16""","13/16""",$5.70,$8.85,$10.40,Wood
CAP1-BL,Rusic Cap-Blue Lake,"10/16""","13/16""",$5.70,$8.85,$10.40,Wood
CAP1-BY,Rustic Cap-Baby Blue,"10/16""","13/16""",$5.70,$8.85,$10.40,Wood
CAP1-C,Rustic Cap-Carbon,"10/16""","13/16""",$5.70,$8.85,$10.40,Wood
CAP1-CF,Rustic Cap-Coffee,"10/16""","13/16""",$5.70,$8.85,$10.40,Wood
CAP1-CN,Rustic Cap-Caribbean,"10/16""","13/16""",$5.70,$8.85,$10.40,Wood
CAP1-CO,Rustic Cap-Coral,"10/16""","13/16""",$5.70,$8.85,$10.40,Wood
CAP1-E,Rustic Cap-Eggplant,"10/16""","13/16""",$5.70,$8.85,$10.40,Wood
CAP1-FR,Rustic Cap-Fire Engine Red,"10/16""","13/16""",$5.70,$8.85,$10.40,Wood
CAP1-G,Rustic Cap-Misty Grey,"10/16""","13/16""",$5.70,$8.85,$10.40,Wood
CAP1-H,Rustic Cap-Hydrangea,"10/16""","13/16""",$5.70,$8.85,$10.40,Wood
CAP1-L,Rustic Cap-Linen,"10/16""","13/16""",$5.70,$8.85,$10.40,Wood
CAP1-LG,Rustic Cap-Lucky Green,"10/16""","13/16""",$5.70,$8.85,$10.40,Wood
CAP1-M,Rustic Cap-Midnight,"10/16""","13/16""",$5.70,$8.85,$10.40,Wood
CAP1-MA,Rustic Cap-Marigold,"10/16""","13/16""",$5.70,$8.85,$10.40,Wood
CAP1-ME,Rustic Cap-Merlot,"10/16""","13/16""",$5.70,$8.85,$10.40,Wood
CAP1-MFB,Modern Fresco Cap-Bright,"10/16""","13/16""",$9.80,$13.25,$15.00,Wood
CAP1-MFEB,Mod Fresc Cap-Elec Blue,"10/16""","13/16""",$9.80,$13.25,$15.00,Wood
CAP1-MFND,Mod Fresc Cap- N & D,"10/16""","13/16""",$9.80,$13.25,$15.00,Wood
CAP1-MFP,Mod Fresc Cap-Pastel,"10/16""","13/16""",$9.80,$13.25,$15.00,Wood
CAP1-MFS,Mod Fresc Cap-Sunset,"10/16""","13/16""",$9.80,$13.25,$15.00,Wood
CAP1-MFSS,Mod Fresc Cap-Sandstorm,"10/16""","13/16""",$9.80,$13.25,$15.00,Wood
CAP1-MK,Rustic Cap-Milk Chocolate,"10/16""","13/16""",$5.70,$8.85,$10.40,Wood
CAP1-MT,Midas Touch Cap,"10/16""","13/16""",$13.00,$15.95,$18.30,Wood
CAP1-MTB,Midas Touch Black Cap,"10/16""","13/16""",$13.00,$15.95,$18.30,Wood
CAP1-MTS,Midas Touch Sage Cap,"10/16""","13/16""",$13.00,$15.95,$18.30,Wood
CAP1-MU,Rustc Cap-Mustard,"10/16""","13/16""",$5.70,$8.85,$10.40,Wood
CAP1-O,Rustic Cap-Orange,"10/16""","13/16""",$5.70,$8.85,$10.40,Wood
CAP1-P,Rustic Cap-Pink,"10/16""","13/16""",$5.70,$8.85,$10.40,Wood
CAP1-PC,Rustic Cap-Popcorn,"10/16""","13/16""",$5.70,$8.85,$10.40,Wood
CAP1-PE,Rustic Cap-Periwinkle,"10/16""","13/16""",$5.70,$8.85,$10.40,Wood
CAP1-R,Rustic Cap-Red Barn,"10/16""","13/16""",$5.70,$8.85,$10.40,Wood
CAP1-RT,Rustic Cap-Rust ,"10/16""","13/16""",$5.70,$8.85,$10.40,Wood
CAP1-S,Rustic Cap-Sage,"10/16""","13/16""",$5.70,$8.85,$10.40,Wood
CAP1-SG,Rustic Cap-Steel Gray,"10/16""","13/16""",$5.70,$8.85,$10.40,Wood
CAP1-SP,Rustic Cap-Spring,"10/16""","13/16""",$5.70,$8.85,$10.40,Wood
CAP1-SW,Rustic Cap-Sweet Potato,"10/16""","13/16""",$5.70,$8.85,$10.40,Wood
CAP1-W,Rustic Cap-Rustic White,"10/16""","13/16""",$5.70,$8.85,$10.40,Wood
CAP1-WT,Rustic Cap-Wheat,"10/16""","13/16""",$5.70,$8.85,$10.40,Wood
CAP1N-B,Rustic Cap-Natural Brown,"10/16""","13/16""",$5.70,$8.85,$10.40,Wood
CAP1N-G,Rustic Cap-Natural Grey,"10/16""","13/16""",$5.70,$8.85,$10.40,Wood
DIAMIR1,Hip Squares:Diamonds,"2 7/8""","3/8""",N/A,N/A,$38.00,Wood
ECO!-BTW,"Beach Tones-White 1.5""","1 1/2""","3/8""",$12.45,$15.40,$17.75,Wood
ECO1-A,"Rustic 1.5"" Azalea","1 1/2""","3/8""",$5.15,$8.30,$9.90,Wood
ECO1-AQ,"Rustic-1.5"" Aquamarine","1 1/2""","3/8""",$5.15,$8.30,$9.90,Wood
ECO1-B,"Rustic-1.5"" Blue Porch","1 1/2""","3/8""",$5.15,$8.30,$9.35,Wood
ECO1-BB,"Rjustic 1.5""-Black Bean","1 1/2""","3/8""",$5.15,$8.30,$9.90,Wood
ECO1-BD,"Blackened Driftwood 1.5""","1 1/2""","3/8""",$12.45,$15.40,$17.75,Wood
ECO1-BL,"Rustic-1.5"" Blue Lake","1 1/2""","3/8""",$5.15,$8.30,$9.90,Wood
ECO1-BTG,"Beach Tones-Grey 1.5""","1 1/2""","3/8""",$12.45,$15.40,$17.75,Wood
ECO1-BY,"Rustic-1.5"" Baby Blue","1 1/2""","3/8""",$5.15,$8.30,$9.90,Wood
ECO1-C,"Rustic-1.5"" Carbon","1 1/2""","3/8""",$5.15,$8.30,$9.90,Wood
ECO1-CEL-C,"Celebration-Celebrate 1.5""","1 1/2""","3/8""",$9.25,$12.70,$14.50,Wood
ECO1-CEL-P,"Celebration-Party 1.5""","1 1/2""","3/8""",$9.25,$12.70,$14.50,Wood
ECO1-CF,"Rustic-1.5"" Coffee","1 1/2""","3/8""",$5.15,$8.30,$9.90,Wood
ECO1-CN,"Rustic 1.5"" Caribbean","1 1/2""","3/8""",$5.15,$8.30,$9.90,Wood
ECO1-CO,"Rustic-1.5"" Coral","1 1/2""","3/8""",$5.15,$8.30,$9.90,Wood
ECO1-CP,"Copper Penny 1.5""","1 1/2""","3/8""",$12.45,$15.40,$17.75,Wood
ECO1-E,"Rustic 1.5"" Eggplant","1 1/2""","3/8""",$5.15,$8.30,$9.90,Wood
ECO1-FP,"Flower Power 1.5""","1 1/2""","3/8""",$9.25,$12.70,$14.50,Wood
ECO1-FR,"Rustic-1.5"" Fire Engine Red","1 1/2""","3/8""",$5.15,$8.30,$9.90,Wood
ECO1-G,"Rustic-1.5"" Misty Grey","1 1/2""","3/8""",$5.15,$8.30,$9.90,Wood
ECO1-GL,"Galaxy 1.5""","1 1/2""","3/8""",$12.45,$15.40,$17.75,Wood
ECO1-GS,"Gilded Strands 1.5""","1 1/2""","3/8""",$12.45,$15.40,$17.75,Wood
ECO1-H,"Rustic-1.5"" Hydrangea","1 1/2""","3/8""",$5.15,$8.30,$9.90,Wood
ECO1-L,"Rustic-1.5"" Linen","1 1/2""","3/8""",$5.15,$8.30,$9.90,Wood
ECO1-LG,"Rustic 1.5"" Lucky Green","1 1/2""","3/8""",$5.15,$8.30,$9.90,Wood
ECO1-M,"Rustic-1.5"" Midnight","1 1/2""","3/8""",$5.15,$8.30,$9.90,Wood
ECO1-MA,"Rustic 1.5"" Marigold","1 1/2""","3/8""",$5.15,$8.30,$9.90,Wood
ECO1-ME,"Rustic 1.5"" Merlot","1 1/2""","3/8""",$5.15,$8.30,$9.90,Wood
ECO1-MFB,"Mod. Fresco-1.5"" Bright","1 1/2""","3/8""",$9.25,$12.70,$14.50,Wood
ECO1-MFEB,"Mod. Fresco-1.5"" Elec Blue","1 1/2""","3/8""",$9.25,$12.70,$14.50,Wood
ECO1-MFND,"Mod. Fresc.-1.5"" N & D","1 1/2""","3/8""",$9.25,$12.70,$14.50,Wood
ECO1-MFP,"Mod. Fresco-1.5"" Pastel","1  1/2""","3/8""",$9.25,$12.70,$14.50,Wood
ECO1-MFS,"Mod. Fresco-1.5"" Sunset","1  1/2""","3/8""",$9.25,$12.70,$14.50,Wood
ECO1-MFSS,"Mod. Fresco-1.5"" Sandstorm","1  1/2""","3/8""",$9.25,$12.70,$14.50,Wood
ECO1-MK,"Rustic 1.5"" Milk Chocolate","1 1/2""","3/8""",$5.15,$8.30,$9.90,Wood
ECO1-MM,"Moonlit Midnight 1.5""","1 1/2""","3/8""",$12.45,$15.40,$17.75,Wood
ECO1-MT,"Midas Touch 1.5""-Nat Gray","1 1/2""","3/8""",$12.45,$15.40,$17.75,Wood
ECO1-MTB,"Midas Touch 1.5""-Black","1 1/2""","3/8""",$12.45,$15.40,$17.75,Wood
ECO1-MTS,"Midas Touch 1.5""-Sage","1 1/2""","3/8""",$12.45,$15.40,$17.75,Wood
ECO1-MU,"Rustic 1.5"" Mustard","1 1/2""","3/8""",$5.15,$8.30,$9.90,Wood
ECO1-NL,"Northern Lights 1.5""","1 1/2""","3/8""",$14.50,$18.50,$21.25,Wood
ECO1-O,"Rustic-1.5"" Orange","1 1/2""","3/8""",$5.15,$8.30,$9.90,Wood
ECO1-P ,"Rustic-1.5"" Pink","1 1/2""","3/8""",$5.15,$8.30,$9.90,Wood
ECO1-PC,"Rustic-1.5"" Popcorn","1 1/2""","3/8""",$5.15,$8.30,$9.90,Wood
ECO1-PD,"Polka Dots 1.5""","1 1/2""","3/8""",$9.25,$12.70,$14.50,Wood
ECO1-PE,"Rustic 1.5"" Periwinkle","1 1/2""","3/8""",$5.15,$8.30,$9.90,Wood
ECO1-R,"Rustic-1.5"" Red Barn","1 1/2""","3/8""",$5.15,$8.30,$9.90,Wood
ECO1-RT,"Rustic-1.5"" Rust ","1 1/2""","3/8""",$5.15,$8.30,$9.90,Wood
ECO1-S,"Rustic-1.5"" Sage","1 1/2""","3/8""",$5.15,$8.30,$9.90,Wood
ECO1-SB,"Summer Breeze 1.5""","1 1/2""","3/8""",$12.45,$15.40,$17.75,Wood
ECO1-SG,"Rustic-1.5"" Steel Gray","1 1/2""","3/8""",$5.15,$8.30,$9.90,Wood
ECO1-SI,"Woodstone: Silva 1 1/2""","1 1/2""","3/8""",$12.45,$15.40,$17.75,Wood
ECO1-SP,"Rustic 1.5"" Spring","1 1/2""","3/8""",$5.15,$8.30,$9.90,Wood
ECO1-SW,"Rustic 1.5"" Sweet Potato","1 1/2""","3/8""",$5.15,$8.30,$9.90,Wood
ECO1-T,"Twilight 1 1/2""","1 1/2""","3/8""",$12.45,$15.40,$17.75,Wood
ECO1-TX,"Woodstone: Tuxedo 1 1/2""","1 1/2""","3/8""",$12.45,$15.40,$17.75,Wood
ECO1-UB,"Undertones-1.5"" Ebony","1 1/2""","3/8""",$12.45,$15.40,$17.75,Wood
ECO1-UE,"Undertones-1.5"" Earth Br","1 1/2""","3/8""",$12.45,$15.40,$17.75,Wood
ECO1-UG,"Undertones-!.5"" Gld Clay","1 1/2""","3/8""",$12.45,$15.40,$17.75,Wood
ECO1-UH,"Undertones-1.5"" Honey Oak","1 1/2""","3/8""",$12.45,$15.40,$17.75,Wood
ECO1-UO,"Undertones-1.5"" Oasis","1 1/2""","3/8""",$12.45,$15.40,$17.75,Wood
ECo1-UR,"Undertones-1.5"" Redwood","1 1/2""","3/8""",$12.45,$15.40,$17.75,Wood
ECO1-USA,"Rustic-Stars 1.5""","1 1/2""","3/8""",N/A,N/A,$10.75,Wood
ECO1-W,"Rustic-1.5"" Rustic White","1 1/2""","3/8""",$5.15,$8.30,$9.90,Wood
ECO1-WL,"Woodstone:Woodland 1 1/2""","1 1/2""","3/8""",$12.45,$15.40,$17.75,Wood
ECO1-WT,"Rustic-1.5"" Wheat","1 1/2""","3/8""",$5.15,$8.30,$9.90,Wood
ECO1-WW,"Winter White 1.5""","1 1/2""","3/8""",$12.45,$15.40,$17.75,Wood
ECO1N-B,"Rustic-1.5"" Natural Brown","1 1/2""","3/8""",$5.15,$8.30,$9.90,Wood
ECO1N-G,"Rustic-1.5"" Natural Grey","1 1/2""","3/8""",$5.15,$8.30,$9.90,Wood
FL15-MF,Floater 1 5/8-Mod Fresco,"1/2""",,N/A,$16.10,$19.90,Wood
FL15-MT,Floater 1 5/8-Midas Touch,"1/2""",,N/A,$20.30,$24.10,Wood
FL15-NL,Floater 1 5/8-Northern Lts,"1/2""",,N/A,$22.80,$26.65,Wood
FL15-RR,Floater 1 5/8-Reimag Rustic,"1/2""",,N/A,$20.30,$24.10,Wood
FL15-SC,Floater 1 5/8-Solid Colors,"1/2""",,N/A,$13.05,$16.85,Wood
FL15-U,Floater 1 5/8-Undertones,"1/2""",,N/A,$20.30,$24.10,Wood
FL78-MF,Floater 7/8-Mod Fresco,"1/2""",,N/A,$15.45,$19.30,Wood
FL78-MT,Floater 7/8-Midas Touch,"1/2""",,N/A,$19.50,$23.35,Wood
FL78-NL,Floater 7/8-Northern Lts,"1/2""",,N/A,$21.30,$25.65,Wood
FL78-RR,Floater 7/8-Reimag Rustic,"1/2""",,N/A,$19.50,$23.35,Wood
FL78-SC,Floater 7/8-Solid Colors,"1/2""",,N/A,$12.50,$16.35,Wood
FL78-U,Floater 7/8-Undertones,"1/2""",,N/A,$19.50,$23.35,Wood
GEO225,Geometric225,"2 1/4""","3/8""",N/A,$13.30,$14.90,Wood
GS100,"Gilded Barn.-1"" Gold","1""","3/8""",$12.00,$15.35,$17.45,Wood
GS150,"Gilded Barn.-1.5"" Gold","1 1/2""","3/8""",$12.00,$15.35,$17.45,Wood
GS225,"Gilded Barn-2.25"" Gold","2.25""","3/8""",$15.15,$20.70,$22.80,Wood
GS300,"Gilded Barn.-3"" Gold","3""","3/8""",$18.50,$25.00,$29.20,Wood
JZ100,"Gilded Barn.-1"" Jazz","1""","3/8""",$12.00,$15.35,$17.45,Wood
JZ150,"Gilded Barn.-1.5"" Jazz","1 1/2""","3/8""",$12.00,$15.35,$17.45,Wood
JZ225,"Gilded Barn.-2.25"" Jazz","2 1/4""","3/8""",$15.15,$20.70,$22.80,Wood
JZ300,"Gilded Barn.-3"" Jazz","3""","3/8""",$18.50,$25.00,$29.20,Wood
MOSMIR1,Hip Squares: Mosaic,"2 7/8""","3/8""",N/A,N/A,$38.00,Wood
NAT100-A,"Natural 1"" Azalea","1""","3/8""",$5.15,$8.30,$9.90,Wood
NAT100-AQ,"Natural-1""-Aquamarine","1""","3/8""",$5.15,$8.30,$9.90,Wood
NAT100-B,"Natural-1"" Blue Porch","1""","3/8""",$5.15,$8.30,$9.90,Wood
NAT100-BB,"Natural-1"" Black Bean","1""","3/8""",$5.15,$8.30,$9.90,Wood
NAT100-BD,"Blackened Driftwood 1""","1""","3/8""",$12.45,$15.40,$17.75,Wood
NAT100-BL,"Natural-1"" Blue Lake","1""","3/8""",$5.15,$8.30,$9.90,Wood
NAT100-BRW,"Beach Tones-1"" White","1""","3/8""",$12.45,$15.40,$17.75,Wood
NAT100-BTG,"Beach Tones-1"" Grey","1""","3/8""",$12.45,$15.40,$17.75,Wood
NAT100-BY,"Natural-1"" Baby Blue","1""","3/8""",$5.15,$8.30,$9.90,Wood
NAT100-C,"Natural-1"" Carbon","1""","3/8""",$5.15,$8.30,$9.90,Wood
NAT100-CF,"Natural-1"" Coffee","1""","3/8""",$5.15,$8.30,$9.90,Wood
NAT100-CN,"Natural-1"" Caribbean","1""","3/8""",$5.15,$8.30,$9.90,Wood
NAT100-CO,"Natural-1"" Coral","1""","3/8""",$5.15,$8.30,$9.90,Wood
NAT100-CP,"Copper Penny 1""","1""","3/8""",$12.45,$15.40,$17.75,Wood
NAT100-E,"Natural 1"" Eggplant","1""","3/8""",$5.15,$8.30,$9.90,Wood
NAT100-FR,"Natural-1"" Fire Engine Red","1""","3/8""",$5.15,$8.30,$9.80,Wood
NAT100-G,"Natural-1"" Misty Grey","1""","3/8""",$5.15,$8.30,$9.90,Wood
NAT100-GL,"Galaxy 1""","1""","3/8""",$12.45,$15.40,$17.75,Wood
NAT100-GS,"Gilded Strands 1""","1""","3/8""",$12.45,$15.40,$17.75,Wood
NAT100-H,"Natural-1"" Hydrangea","1""","3/8""",$5.15,$8.30,$9.90,Wood
NAT100-L,"Natural-1"" Linen","1""","3/8""",$5.15,$8.30,$9.90,Wood
NAT100-LG,"Natural 1"" Lucky Green","1""","3/8""",$5.15,$8.30,$9.80,Wood
NAT100-M,"Natural-1"" Midnight","1""","3/8""",$5.15,$8.30,$9.90,Wood
NAT100-MA,"Natural 1"" Marigold","1""","3/8""",$5.15,$8.30,$9.80,Wood
NAT100-ME,"Natural 1"" Merlot","1""","3/8""",$5.15,$8.30,$9.80,Wood
NAT100-MFB,"Mod Fresco-1"" Bright","1""","3/8""",$9.25,$12.70,$14.50,Wood
NAT100-MFEC,"Mod Fres-1"" Elec Blue","1""","3/8""",$9.25,$12.70,$14.50,Wood
NAT100-MFND,"Mod Fres-1"" N & D","1""","3/8""",$9.25,$12.70,$14.50,Wood
NAT100-MFP,"Mod Fres-1"" Pastel","1""","3/8""",$9.25,$12.70,$14.50,Wood
NAT100-MFS,"Mod Fres-1"" Sunset","1""","3/8""",$9.25,$12.70,$14.50,Wood
NAT100-MFSS,"Mod Fres-1"" Sandstorm","1""","3/8""",$9.25,$12.70,$14.50,Wood
NAT100-MK,"Natural 1"" Milk Chocolate","1""","3/8""",$5.15,$8.30,$9.80,Wood
NAT100-MM,"Moonlit Midnight 1""","1""","3/8""",$12.45,$15.40,$17.75,Wood
NAT100-MT ,"Midas Touch 1""-Nat. Gray","1""","3/8""",$12.45,$15.40,$17.75,Wood
NAT100-MTB,"Midas Touch 1"" - Black","1""","3/8""",$12.45,$15.40,$17.75,Wood
NAT100-MTS,"Midas Touch 1""-Sage","1""","3/8""",$12.45,$15.40,$17.75,Wood
NAT100-MU,"Natural 1"" Mustard","1""","3/8""",$5.15,$8.30,$9.80,Wood
NAT100-O,"Natural-1"" Orange","1""","3/8""",$5.15,$8.30,$9.90,Wood
NAT100-P,"Natural-1"" Pink","1""","3/8""",$5.15,$8.30,$9.90,Wood
NAT100-PC,"Natural-1"" Popcorn","1""","3/8""",$5.15,$8.30,$9.80,Wood
NAT100-PE,"Natural 1""- Periwinkle","1""","3/8""",$5.15,$8.30,$9.80,Wood
NAT100-R,"Natural-1"" Red Barn","1""","3/8""",$5.15,$8.30,$9.90,Wood
NAT100-RT,"Natural 1""-Rust","1""","3/8""",$5.15,$8.30,$9.80,Wood
NAT100-S,"Natural-1"" Sage","1""","3/8""",$5.15,$8.30,$9.90,Wood
NAT100-SB,"Summer Breeze 1""","1""","3/8""",$12.45,$15.40,$17.75,Wood
NAT100-SG,"Natural 1""-Steel Gray","1""","3/8""",$5.15,$8.30,$9.80,Wood
NAT100-SP,"Natural 1"" Spring","1""","3/8""",$5.15,$8.30,$9.80,Wood
NAT100-SW,"Natural 1"" Sweet Potato","1""","3/8""",$5.15,$8.30,$9.80,Wood
NAT100-T,"Twilight 1""","1""","3/8""",$12.45,$15.40,$17.75,Wood
NAT100-UB,"Undertones 1"" Ebony","1""","3/8""",$12.45,$15.40,$17.75,Wood
NAT100-UE,"Undertones 1"" Earth Brown","1""","3/8""",$12.45,$15.40,$17.75,Wood
NAT100-UG,"Undertones 1"" Gld Clay","1""","3/8""",$12.45,$15.40,$17.75,Wood
NAT100-UH,"Undertones 1"" Honey Oak","1""","3/8""",$12.45,$15.40,$17.75,Wood
NAT100-UO,"Undertones 1"" Oasis","1""","3/8""",$12.45,$15.40,$17.75,Wood
NAT100-UR,"Undertones 1""-Redwood","1""","3/8""",$12.45,$15.40,$17.75,Wood
NAT100-W,"Natural-1"" Rustic White","1""","3/8""",$5.15,$8.30,$9.90,Wood
NAT100-WW,"Winter White 1""","1""","3/8""",$12.45,$15.40,$17.75,Wood
NAT100N-B,"Natural 1""-Natural Brown","1""","3/8""",$5.15,$8.30,$9.80,Wood
NAT100N-G,"Natural-1"" Natural Grey","1""","3/8""",$5.15,$8.30,$9.80,Wood
NAT225-A,"Natural-2 1/4"" Azalea","2 1/4""",3/8,$8.55,$10.55,$12.10,Wood
NAT225-AQ,"Natural-2 1/4"" Aquamarine","2 1/4""","3/8""",$8.55,$10.55,$12.10,Wood
NAT225-B,"Natural-2 1/4"" Blue Porch","2 1/4""","3/8""",$8.55,$10.55,$12.10,Wood
NAT225-BB,Natural- 2 1/4'Black Bean,"2 1/4""","3/8""",$8.55,$10.55,$12.10,Wood
NAT225-BD,Blackened Driftwood  2.25,"2 1/4""","3/8""",$14.00,$17.65,$20.85,Wood
NAT225-BL,"Natural-2 1/4"" Blue Lake","2 1/4""","3/8""",$8.55,$10.55,$12.10,Wood
NAT225-BTG,"Beach Tones- Grey 2 1/4""","2 1/4""","3/8""",$14.00,$17.65,$20.85,Wood
NAT225-BTW,"Beach Tones-White 2 1/4""","2 1/4""","3/8""",$14.00,$17.65,$20.85,Wood
NAT225-BY,"Natural-2 1/4"" Baby Blue","2 1/4""","3/8""",$8.55,$10.55,$12.10,Wood
NAT225-C,"Natural-2 1/4"" Carbon","2 1/4""","3/8""",$8.55,$10.55,$12.10,Wood
NAT225-CEL-C,Celebration-Celebrate,"2 1/4""","3/8""",$11.65,$14.50,$16.25,Wood
NAT225-CEL-P,Celebration-Party,"2 1/4""","3/8""",$11.65,$14.50,$16.25,Wood
NAT225-CF,"Natural 2 1/4"" Coffee","2 1/4""","3/8""",$8.55,$10.55,$12.10,Wood
NAT225-CN,"Natural 2 1/4"" Caribbean","2 1/4""","3/8""",$8.55,$10.55,$12.10,Wood
NAT225-CO,"Natural-2 1/4"" Coral","2 1/4""","3/8""",$8.55,$10.55,$12.10,Wood
NAT225-CP,"Copper Penny 2 1/4""","2 1/4""","3/8""",$14.00,$17.65,$20.85,Wood
NAT225-E,"Natural 2 1/4"" Eggplant","2 1/4""","3/8""",$8.55,$10.55,$12.10,Wood
NAT225-FP,Flower Power,"2 1/4""","3/8""",$11.65,$14.50,$16.25,Wood
NAT225-FR,"Natural 2 1/4"" Fire Eng Red","2 1/4""","3/8""",$8.55,$10.55,$12.10,Wood
NAT225-G,"Natural-2 1/4"" Misty Grey","2  1/4""","3/8""",$8.55,$10.55,$12.10,Wood
