"Goldleaf Framemakers",".GDL","369"
"Aus Mouldings",".AUS","370"
"Chamton",".CHM","371"
"Michelangelo Inc",".MH","320"
"Tri Art Moulding",".TA","372"
"Raphael_Panels","R","373"
"M & N Supplies","none","375"
"Southwest Moulding",".SW","376"
"Cela Design",".CL","377"
"Cutting Edge Frames",".CEF","378"
"Xylo Moulding",".XY","379"
"Crescent Flexible Accents","","380"
"Quebracho",".QB","382"
"Frames 27th",".FTS","383"
"Quattro Frameworks Inc",".QU","384"
"Wesley Allen",".WES","386"
"Boston Art Framers",".BA","387"
"Lexington Framing Supplies",".LX","388"
"American Choice",".AC","389"
"FryeWorks",".FY","390"
"A & T","","391"
"Arqadia","","392"
"Nielsen UK","","393"
"Lion","","394"
"Bainbridge Matboard","","395"
"Campbells","","396"
"Partos Plus",".PP","397"
"Southern Moulding","","398"
"Franks_Mats","FE-","399"
"Lines Enterprises","","400"
"Framing Fabrics (mats)",".FF","401"
"Specialty Matboard",".SMC","402"
"Urban Ashes",".UA","403"
"Bellini Fine Moulding",".BFM","404"
"Folkgraphis (Seamless Liners)",".FGS","405"
"Bluegrass Frames",".BGF","406"
"_Abe Munn",".MU","407"
"_APF Munn",".APF","408"
"Frametastic LLC",".FT","410"
"Chamton Matboard","","411"
"Daedalian Frames",".DA","412"
"Hsin Framing and Moulding",".HS","413"
"Smith Frame & Moulding",".SFM","415"
"All States Frames","None","416"
"All States Frames Matboard","None","417"
"Century Matboard","CA","418"
"Frame Specialties (Matboard)","PCW","419"
"Custom Matboards","","420"
"Framerica","none","421"
"ASAP Moulding",".ASP","422"
"Supreme Mouldings","","423"
"Design Products Moulding","","425"
"Supex","","426"
"Mathews and Kent",".MAK","427"
"Crescent","","428"
"USA Salvage","","429"
"Bellini Matboard",".BFM","430"
"ARL Designs",".ARL","431"
"American Moulding Company",".AMC","409"
"Framers Choice",".FCA","432"
"Chester Frame Company",".CFC","433"
"ABC Matboard","none","434"
"Bridger Metal Works","","435"
"HOF_Matboard","","436"
"Ludwig (Complete Framers)",".LCF","437"
"International Moulding of TX (US)",".TD","438"
"Alumaframe","","439"
"North Carolina Moulding Co",".NCM","440"
"Christopher Company","","441"
"BKS Mats","","442"
"Classic Framers","none","443"
"Classic Framers - Lanco","none","444"
"Pacific Heritage Frames","PHF","445"
"Artis Pura","","446"
"Decor Matboard","D","447"
"Complete Framer's Supply Matboard","CFS","448"
"Moulding Distributors","","449"
"Moulding Distributors Matboard","","450"
"Larson Juhl Gallery Moments Zone 2","","452"
"Larson Juhl Gallery Moments Zone 3","","453"
"Larson Juhl Gallery Moments Zone 4","","454"
"Larson Juhl Gallery Moments Zone 5","","455"
"Larson Juhl Gallery Moments Zone 6","","456"
"Larson Juhl Gallery Moments Zone 7","","457"
"Larson Juhl Gallery Moments Zone 8","","458"
"Larson Juhl Gallery Moments Zone 9","","459"
"Wilson Moulding","WM","451"
"Berkshire","","460"
"Atomic Frames","","461"
"Oxford Hill Frames","OHF","462"
"Artis Pura","","446"
"Delf","","463"
"Fotiou Seamless Liners","FUSL","464"
"Framers Only","","465"
"Hershey",".HY","466"
"Artist Trait",".AT","467"
"Berkshire (Folkgraphis)","","468"
"Munn",".MUNN","469"
"Centrado Moulding",".CTO","470"
"Rian Fabrication",".RI","471"
"East Side Frames",".ESF","472"
"Crescent (Larson Juhl)","C","473"
"Delta Picture Frame Co (Matboard)","DE","474"
"Quattro Matboard","","475"
"John Purcell Mountboards","","476"
"Larson Juhl",".LJ","477"
"Larson Juhl, mountboard","","478"
"Lion Mountboards","","479"
"Ashworth and Thompson","","480"
"Foster's Planing Mill","","481"
"Wicked Tacky Frames","","482"
"Larson Juhl NZ","","483"
"Larson Juhl, matboard NZ","","484"
"Wessex Pictures Moulding","WP","485"
"Wessex Pictures Mountboards","","486"
"RCH Carving Frames",".RCH","487"
"HempWood Moulding",".HMP","189"
"Folkgraphis (Wood)","","296"
"Bainbridge (Larson Juhl)","B","135"
"Spark Frames",".SPK","232"
"Mainline Mouldings",".MAIN","488"
"Crescent (Nelsons)","","279"
"RK Splines",".RK","278"
"Peterboro (Folkgraphis)","","349"
"Bainbridge (Folkgraphis)","","489"
"AMCI Lola",".AMCI","106"
"House of Maes","HOM","355"
"Centrado Mountboard","","490"
"Sharpeye Framing Company",".SEF","491"
"Cutting Edge Matboards","","492"
"D & J Simons Moulding",".DJ","493"
"Larson Juhl (Crescent)","C","494"
"Nelson's Matboard","","495"
"Omega Matboard",".OM","496"
"Omega Matboard",".OM","497"
"Wall Street Moulding",".WALL","498"
"Rose and Hollis",".RH","499"
"South Star Matboard",".SS","500"
"International Moulding (Matboards)",".IM","501"
"Don Mar Matboard",".DM","502"
"Artistic Wholesale Matboard",".AW","503"
"Verbec Matboard",".VB","504"
"Vestate Matboard",".VS","505"
"Cash Matboard",".CM","506"
"PFI Matboard",".PFI","507"
"Jayeness Matboard",".JY","508"
"Evald Matboard",".EV","509"
"Framers' Inventory Matboard",".FI","510"
"Monarch Moulding Matboard",".MN","511"
"International Moulding of WV (Formerly Mayne Framing Supply) - Matboard",".MY","512"
"Atlantic Moulding",".AM","513"
"International Moulding of WI",".IM","514"
"International Moulding of MI",".IM","515"
"International Moulding of PA Matboard",".IM","516"
"Rustic North",".RN","517"
"Studio Chrandy",".SC","518"
"Mainline Mountboard","","519"
"International Moulding of MN Matboard",".IM","520"
"Mosaic Art Group",".MG","521"
"CMI Matboard",".CMI","522"
"International Moulding of WI Matboard",".IM","523"
"International Moulding of TX Matboard",".IM","524"
"International Moulding of MI Matboard ",".IM","525"
"International Moulding of NC Matboard",".IM","526"
"Nielsen UK Mountboard","","527"
"Quadro Nostro Moulding",".QN","528"
"International Moulding of NY (Matboard)",".QT","529"
"Old Dream New Frame",".ODNF","530"
