Item,Description,Width,Rabbet Height,Lip Size,Length,Chop,Join,Group,UPC
100WK,Satin Black #100 Walnut,0.5,0.562,0.188,9.1,13.29,18.61,Wood,
FC-100WK,FC Satin Black #100 Walnut,0.5,0.562,0.188,,,27.68,Wood,
100W1,Light Grey #100 Walnut,0.5,0.562,0.188,9.1,13.29,18.61,Wood,
FC-100W1,FC Light Grey #100 Walnut,0.5,0.562,0.188,,,27.68,Wood,
100W2,Medium Grey #100 Walnut,0.5,0.562,0.188,9.1,13.29,18.61,Wood,
FC-100W2,FC Medium Grey #100 Walnut,0.5,0.562,0.188,,,27.68,Wood,
100W3,Dark Grey #100 Walnut,0.5,0.562,0.188,9.1,13.29,18.61,Wood,
FC-100W3,FC Dark Grey #100 Walnut,0.5,0.562,0.188,,,27.68,Wood,
100VR,Raw #100 White Oak,0.5,0.562,0.188,4.71,7.77,12.43,Wood,
FC-100VR,FC Raw #100 White Oak,0.5,0.562,0.188,,,28.4,Wood,
100VF,Oil & Wax #100 White Oak,0.5,0.562,0.188,7.97,13.15,18.41,Wood,
FC-100VF,FC Oil & Wax #100 White Oak,0.5,0.562,0.188,,,29.08,Wood,
100VL,Clear Lacquer #100 White Oak,0.5,0.562,0.188,8.51,14.04,19.66,Wood,
FC-100VL,FC Clear Lacquer #100 White Oak,0.5,0.562,0.188,,,29.08,Wood,
100VC,Charcoal #100 White Oak,0.5,0.562,0.188,10.14,16.73,23.42,Wood,
FC-100VC,FC Charcoal #100 White Oak,0.5,0.562,0.188,,,29.77,Wood,
100VM,Mission #100 White Oak,0.5,0.562,0.188,10.14,16.73,23.42,Wood,
FC-100VM,FC Mission #100 White Oak,0.5,0.562,0.188,,,29.77,Wood,
100V7,Bleached #100 White Oak,0.5,0.562,0.188,10.14,16.73,23.42,Wood,
FC-100V7,FC Bleached #100 White Oak,0.5,0.562,0.188,,,29.77,Wood,
104AR,Raw #104 Ash,0.75,0.75,0.25,3.22,4.57,7.31,Wood,
FC-104AR,FC Raw #104 Ash,0.75,0.75,0.25,,,23.82,Wood,
104AF,Oil & Wax #104 Ash,0.75,0.75,0.25,6.48,9.2,12.88,Wood,
FC-104AF,FC Oil & Wax #104 Ash,0.75,0.75,0.25,,,24.51,Wood,
104AL,Clear Lacquer #104 Ash,0.75,0.75,0.25,7.02,9.97,13.96,Wood,
FC-104AL,FC Clear Lacquer #104 Ash,0.75,0.75,0.25,,,24.51,Wood,
104AW,WhiteWash #104 Ash,0.75,0.75,0.25,8.92,12.67,17.74,Wood,
FC-104AW,FC WhiteWash #104 Ash,0.75,0.75,0.25,,,25.2,Wood,
104AT,White #104 Ash,0.75,0.75,0.25,8.92,12.67,17.74,Wood,
FC-104AT,FC White #104 Ash,0.75,0.75,0.25,,,26.57,Wood,
104AK,Satin Black #104 Ash,0.75,0.75,0.25,8.92,12.67,17.74,Wood,
FC-104AK,FC Satin Black #104 Ash,0.75,0.75,0.25,,,26.57,Wood,
104AA,Warm White #104 Ash,0.75,0.75,0.25,8.92,12.67,17.74,Wood,
FC-104AA,FC Warm White #104 Ash,0.75,0.75,0.25,,,26.57,Wood,
104AC,Charcoal #104 Ash,0.75,0.75,0.25,8.92,12.67,17.74,Wood,
FC-104AC,FC Charcoal #104 Ash,0.75,0.75,0.25,,,26.57,Wood,
104AI,Rising White #104 Ash,0.75,0.75,0.25,8.92,12.67,17.74,Wood,
FC-104AI,FC Rising White #104 Ash,0.75,0.75,0.25,,,26.57,Wood,
104A1,Light Grey #104 Ash,0.75,0.75,0.25,8.92,12.67,17.74,Wood,
FC-104A1,FC Light Grey #104 Ash,0.75,0.75,0.25,,,26.57,Wood,
104A2,Medium Grey #104 Ash,0.75,0.75,0.25,8.92,12.67,17.74,Wood,
FC-104A2,FC Medium Grey #104 Ash,0.75,0.75,0.25,,,26.57,Wood,
104A3,Dark Grey #104 Ash,0.75,0.75,0.25,8.92,12.67,17.74,Wood,
FC-104A3,FC Dark Grey #104 Ash,0.75,0.75,0.25,,,26.57,Wood,
104CR,Raw #104 Cherry,0.75,0.75,0.25,3.43,5.01,8.02,Wood,
FC-104CR,FC Raw #104 Cherry,0.75,0.75,0.25,,,24.26,Wood,
104CF,Oil & Wax #104 Cherry,0.75,0.75,0.25,6.96,10.16,14.22,Wood,
FC-104CF,FC Oil & Wax #104 Cherry,0.75,0.75,0.25,,,24.95,Wood,
104CL,Clear Lacquer #104 Cherry,0.75,0.75,0.25,8.86,12.94,18.12,Wood,
FC-104CL,FC Clear Lacquer #104 Cherry,0.75,0.75,0.25,,,26.32,Wood,
104CG,Aged #104 Cherry,0.75,0.75,0.25,8.86,12.94,18.12,Wood,
FC-104CG,FC Aged #104 Cherry,0.75,0.75,0.25,,,26.32,Wood,
104CQ,Antique #104 Cherry,0.75,0.75,0.25,8.86,12.94,18.12,Wood,
FC-104CQ,FC Antique #104 Cherry,0.75,0.75,0.25,,,26.32,Wood,
104CD,Black Cherry #104 Cherry,0.75,0.75,0.25,8.86,12.94,18.12,Wood,
FC-104CD,FC Black Cherry #104 Cherry,0.75,0.75,0.25,,,27.01,Wood,
104MR,Raw #104 Maple,0.75,0.75,0.25,3.83,5.29,8.46,Wood,
FC-104MR,FC Raw #104 Maple,0.75,0.75,0.25,,,24.54,Wood,
104MF,Oil & Wax #104 Maple,0.75,0.75,0.25,7.09,9.78,13.69,Wood,
FC-104MF,FC Oil & Wax #104 Maple,0.75,0.75,0.25,,,25.23,Wood,
104ML,Clear Lacquer #104 Maple,0.75,0.75,0.25,7.36,10.16,14.22,Wood,
FC-104ML,FC Clear Lacquer #104 Maple,0.75,0.75,0.25,,,25.23,Wood,
104MW,WhiteWash #104 Maple,0.75,0.75,0.25,8.42,11.62,16.27,Wood,
FC-104MW,FC WhiteWash #104 Maple,0.75,0.75,0.25,,,25.92,Wood,
104MT,White #104 Maple,0.75,0.75,0.25,7.63,10.53,14.74,Wood,
FC-104MT,FC White #104 Maple,0.75,0.75,0.25,,,26.6,Wood,
104MK,Satin Black #104 Maple,0.75,0.75,0.25,7.63,10.53,14.74,Wood,
FC-104MK,FC Satin Black #104 Maple,0.75,0.75,0.25,,,26.6,Wood,
104MA,Warm White #104 Maple,0.75,0.75,0.25,7.63,10.53,14.74,Wood,
FC-104MA,FC Warm White #104 Maple,0.75,0.75,0.25,,,26.6,Wood,
104MI,Rising White #104 Maple,0.75,0.75,0.25,7.63,10.53,14.74,Wood,
FC-104MI,FC Rising White #104 Maple,0.75,0.75,0.25,,,26.6,Wood,
104M1,Light Grey #104 Maple,0.75,0.75,0.25,7.63,10.53,14.74,Wood,
FC-104M1,FC Light Grey #104 Maple,0.75,0.75,0.25,,,26.6,Wood,
104M2,Medium Grey #104 Maple,0.75,0.75,0.25,7.63,10.53,14.74,Wood,
FC-104M2,FC Medium Grey #104 Maple,0.75,0.75,0.25,,,26.6,Wood,
104M3,Dark Grey #104 Maple,0.75,0.75,0.25,7.63,10.53,14.74,Wood,
FC-104M3,FC Dark Grey #104 Maple,0.75,0.75,0.25,,,26.6,Wood,
104M9,Wheat #104 Maple,0.75,0.75,0.25,8.42,11.62,16.27,Wood,
FC-104M9,FC Wheat #104 Maple,0.75,0.75,0.25,,,26.6,Wood,
104OR,Raw #104 Oak,0.75,0.75,0.25,2.96,4.08,6.53,Wood,
FC-104OR,FC Raw #104 Oak,0.75,0.75,0.25,,,23.33,Wood,
104OF,Oil & Wax #104 Oak,0.75,0.75,0.25,6.22,8.58,12.01,Wood,
FC-104OF,FC Oil & Wax #104 Oak,0.75,0.75,0.25,,,24.02,Wood,
104OL,Clear Lacquer #104 Oak,0.75,0.75,0.25,6.49,8.96,12.54,Wood,
FC-104OL,FC Clear Lacquer #104 Oak,0.75,0.75,0.25,,,24.02,Wood,
104WR,Raw #104 Walnut,0.75,0.75,0.25,6.74,9.84,15.74,Wood,
FC-104WR,FC Raw #104 Walnut,0.75,0.75,0.25,,,29.09,Wood,
104WF,Oil & Wax #104 Walnut,0.75,0.75,0.25,11.33,16.54,23.16,Wood,
FC-104WF,FC Oil & Wax #104 Walnut,0.75,0.75,0.25,,,29.78,Wood,
104WP,Padauk #104 Walnut,0.75,0.75,0.25,12.17,17.77,24.88,Wood,
FC-104WP,FC Padauk #104 Walnut,0.75,0.75,0.25,,,30.47,Wood,
104WB,Special Dark #104 Walnut,0.75,0.75,0.25,12.17,17.77,24.88,Wood,
FC-104WB,FC Special Dark #104 Walnut,0.75,0.75,0.25,,,30.47,Wood,
104WE,Ebony #104 Walnut,0.75,0.75,0.25,11.33,16.54,23.16,Wood,
FC-104WE,FC Ebony #104 Walnut,0.75,0.75,0.25,,,30.47,Wood,
104WK,Satin Black #104 Walnut,0.75,0.75,0.25,10.54,15.39,21.55,Wood,
FC-104WK,FC Satin Black #104 Walnut,0.75,0.75,0.25,,,29.78,Wood,
104W1,Light Grey #104 Walnut,0.75,0.75,0.25,10.54,15.39,21.55,Wood,
FC-104W1,FC Light Grey #104 Walnut,0.75,0.75,0.25,,,29.78,Wood,
104W2,Medium Grey #104 Walnut,0.75,0.75,0.25,10.54,15.39,21.55,Wood,
FC-104W2,FC Medium Grey #104 Walnut,0.75,0.75,0.25,,,29.78,Wood,
104W3,Dark Grey #104 Walnut,0.75,0.75,0.25,10.54,15.39,21.55,Wood,
FC-104W3,FC Dark Grey #104 Walnut,0.75,0.75,0.25,,,29.78,Wood,
104VR,Raw #104 White Oak,0.75,0.75,0.25,5.08,8.38,13.41,Wood,
FC-104VR,FC Raw #104 White Oak,0.75,0.75,0.25,,,29.01,Wood,
104VF,Oil & Wax #104 White Oak,0.75,0.75,0.25,8.34,13.76,19.26,Wood,
FC-104VF,FC Oil & Wax #104 White Oak,0.75,0.75,0.25,,,29.69,Wood,
104VL,Clear Lacquer #104 White Oak,0.75,0.75,0.25,8.88,14.65,20.51,Wood,
FC-104VL,FC Clear Lacquer #104 White Oak,0.75,0.75,0.25,,,29.69,Wood,
104VC,Charcoal #104 White Oak,0.75,0.75,0.25,10.51,17.34,24.28,Wood,
FC-104VC,FC Charcoal #104 White Oak,0.75,0.75,0.25,,,30.38,Wood,
104VM,Mission #104 White Oak,0.75,0.75,0.25,10.51,17.34,24.28,Wood,
FC-104VM,FC Mission #104 White Oak,0.75,0.75,0.25,,,30.38,Wood,
104V7,Bleached #104 White Oak,0.75,0.75,0.25,10.51,17.34,24.28,Wood,
FC-104V7,FC Bleached #104 White Oak,0.75,0.75,0.25,,,30.38,Wood,
110AR,Raw #110 Ash,0.5,0.812,0.188,3,4.26,6.82,Wood,
FC-110AR,FC Raw #110 Ash,0.5,0.812,0.188,,,23.51,Wood,
110AF,Oil & Wax #110 Ash,0.5,0.812,0.188,6.26,8.89,12.45,Wood,
FC-110AF,FC Oil & Wax #110 Ash,0.5,0.812,0.188,,,24.2,Wood,
110AL,Clear Lacquer #110 Ash,0.5,0.812,0.188,6.8,9.66,13.52,Wood,
FC-110AL,FC Clear Lacquer #110 Ash,0.5,0.812,0.188,,,24.2,Wood,
110AW,WhiteWash #110 Ash,0.5,0.812,0.188,8.7,12.35,17.29,Wood,
FC-110AW,FC WhiteWash #110 Ash,0.5,0.812,0.188,,,24.89,Wood,
110AT,White #110 Ash,0.5,0.812,0.188,8.7,12.35,17.29,Wood,
FC-110AT,FC White #110 Ash,0.5,0.812,0.188,,,26.26,Wood,
110AK,Satin Black #110 Ash,0.5,0.812,0.188,8.7,12.35,17.29,Wood,
FC-110AK,FC Satin Black #110 Ash,0.5,0.812,0.188,,,26.26,Wood,
110AA,Warm White #110 Ash,0.5,0.812,0.188,8.7,12.35,17.29,Wood,
FC-110AA,FC Warm White #110 Ash,0.5,0.812,0.188,,,26.26,Wood,
110AC,Charcoal #110 Ash,0.5,0.812,0.188,8.7,12.35,17.29,Wood,
FC-110AC,FC Charcoal #110 Ash,0.5,0.812,0.188,,,26.26,Wood,
110AI,Rising White #110 Ash,0.5,0.812,0.188,8.7,12.35,17.29,Wood,
FC-110AI,FC Rising White #110 Ash,0.5,0.812,0.188,,,26.26,Wood,
110A1,Light Grey #110 Ash,0.5,0.812,0.188,8.7,12.35,17.29,Wood,
FC-110A1,FC Light Grey #110 Ash,0.5,0.812,0.188,,,26.26,Wood,
110A2,Medium Grey #110 Ash,0.5,0.812,0.188,8.7,12.35,17.29,Wood,
FC-110A2,FC Medium Grey #110 Ash,0.5,0.812,0.188,,,26.26,Wood,
110A3,Dark Grey #110 Ash,0.5,0.812,0.188,8.7,12.35,17.29,Wood,
FC-110A3,FC Dark Grey #110 Ash,0.5,0.812,0.188,,,26.26,Wood,
110CR,Raw #110 Cherry,0.5,0.812,0.188,3.23,4.72,7.55,Wood,
FC-110CR,FC Raw #110 Cherry,0.5,0.812,0.188,,,23.97,Wood,
110CF,Oil & Wax #110 Cherry,0.5,0.812,0.188,6.76,9.87,13.82,Wood,
FC-110CF,FC Oil & Wax #110 Cherry,0.5,0.812,0.188,,,24.66,Wood,
110CL,Clear Lacquer #110 Cherry,0.5,0.812,0.188,8.66,12.64,17.7,Wood,
FC-110CL,FC Clear Lacquer #110 Cherry,0.5,0.812,0.188,,,26.03,Wood,
110CG,Aged #110 Cherry,0.5,0.812,0.188,8.66,12.64,17.7,Wood,
FC-110CG,FC Aged #110 Cherry,0.5,0.812,0.188,,,26.03,Wood,
110CQ,Antique #110 Cherry,0.5,0.812,0.188,8.66,12.64,17.7,Wood,
FC-110CQ,FC Antique #110 Cherry,0.5,0.812,0.188,,,26.03,Wood,
110CD,Black Cherry #110 Cherry,0.5,0.812,0.188,8.66,12.64,17.7,Wood,
FC-110CD,FC Black Cherry #110 Cherry,0.5,0.812,0.188,,,26.72,Wood,
110MR,Raw #110 Maple,0.5,0.812,0.188,3.55,4.9,7.84,Wood,
FC-110MR,FC Raw #110 Maple,0.5,0.812,0.188,,,24.15,Wood,
110MF,Oil & Wax #110 Maple,0.5,0.812,0.188,6.81,9.4,13.16,Wood,
FC-110MF,FC Oil & Wax #110 Maple,0.5,0.812,0.188,,,24.84,Wood,
110ML,Clear Lacquer #110 Maple,0.5,0.812,0.188,7.08,9.77,13.68,Wood,
FC-110ML,FC Clear Lacquer #110 Maple,0.5,0.812,0.188,,,24.84,Wood,
110MW,WhiteWash #110 Maple,0.5,0.812,0.188,8.14,11.23,15.72,Wood,
FC-110MW,FC WhiteWash #110 Maple,0.5,0.812,0.188,,,25.53,Wood,
110MT,White #110 Maple,0.5,0.812,0.188,7.35,10.14,14.2,Wood,
FC-110MT,FC White #110 Maple,0.5,0.812,0.188,,,26.21,Wood,
110MK,Satin Black #110 Maple,0.5,0.812,0.188,7.35,10.14,14.2,Wood,
FC-110MK,FC Satin Black #110 Maple,0.5,0.812,0.188,,,26.21,Wood,
110MA,Warm White #110 Maple,0.5,0.812,0.188,7.35,10.14,14.2,Wood,
FC-110MA,FC Warm White #110 Maple,0.5,0.812,0.188,,,26.21,Wood,
110MI,Rising White #110 Maple,0.5,0.812,0.188,7.35,10.14,14.2,Wood,
FC-110MI,FC Rising White #110 Maple,0.5,0.812,0.188,,,26.21,Wood,
110M1,Light Grey #110 Maple,0.5,0.812,0.188,7.35,10.14,14.2,Wood,
FC-110M1,FC Light Grey #110 Maple,0.5,0.812,0.188,,,26.21,Wood,
110M2,Medium Grey #110 Maple,0.5,0.812,0.188,7.35,10.14,14.2,Wood,
FC-110M2,FC Medium Grey #110 Maple,0.5,0.812,0.188,,,26.21,Wood,
110M3,Dark Grey #110 Maple,0.5,0.812,0.188,7.35,10.14,14.2,Wood,
FC-110M3,FC Dark Grey #110 Maple,0.5,0.812,0.188,,,26.21,Wood,
110M9,Wheat #110 Maple,0.5,0.812,0.188,8.14,11.23,15.72,Wood,
FC-110M9,FC Wheat #110 Maple,0.5,0.812,0.188,,,26.21,Wood,
110WR,Raw #110 Walnut,0.5,0.812,0.188,6.38,9.31,14.9,Wood,
FC-110WR,FC Raw #110 Walnut,0.5,0.812,0.188,,,28.56,Wood,
110WF,Oil & Wax #110 Walnut,0.5,0.812,0.188,10.97,16.02,22.43,Wood,
FC-110WF,FC Oil & Wax #110 Walnut,0.5,0.812,0.188,,,29.25,Wood,
110WP,Padauk #110 Walnut,0.5,0.812,0.188,11.81,17.24,24.14,Wood,
FC-110WP,FC Padauk #110 Walnut,0.5,0.812,0.188,,,29.94,Wood,
110WB,Special Dark #110 Walnut,0.5,0.812,0.188,11.81,17.24,24.14,Wood,
FC-110WB,FC Special Dark #110 Walnut,0.5,0.812,0.188,,,29.94,Wood,
110WE,Ebony #110 Walnut,0.5,0.812,0.188,10.97,16.02,22.43,Wood,
FC-110WE,FC Ebony #110 Walnut,0.5,0.812,0.188,,,29.94,Wood,
110WK,Satin Black #110 Walnut,0.5,0.812,0.188,10.18,14.86,20.8,Wood,
FC-110WK,FC Satin Black #110 Walnut,0.5,0.812,0.188,,,29.25,Wood,
110W1,Light Grey #110 Walnut,0.5,0.812,0.188,10.18,14.86,20.8,Wood,
FC-110W1,FC Light Grey #110 Walnut,0.5,0.812,0.188,,,29.25,Wood,
110W2,Medium Grey #110 Walnut,0.5,0.812,0.188,10.18,14.86,20.8,Wood,
FC-110W2,FC Medium Grey #110 Walnut,0.5,0.812,0.188,,,29.25,Wood,
110W3,Dark Grey #110 Walnut,0.5,0.812,0.188,10.18,14.86,20.8,Wood,
FC-110W3,FC Dark Grey #110 Walnut,0.5,0.812,0.188,,,29.25,Wood,
110VR,Raw #110 White Oak,0.5,0.812,0.188,5.08,8.38,13.41,Wood,
FC-110VR,FC Raw #110 White Oak,0.5,0.812,0.188,,,29.01,Wood,
110VF,Oil & Wax #110 White Oak,0.5,0.812,0.188,8.34,13.76,19.26,Wood,
FC-110VF,FC Oil & Wax #110 White Oak,0.5,0.812,0.188,,,29.69,Wood,
110VL,Clear Lacquer #110 White Oak,0.5,0.812,0.188,8.88,14.65,20.51,Wood,
FC-110VL,FC Clear Lacquer #110 White Oak,0.5,0.812,0.188,,,29.69,Wood,
110VC,Charcoal #110 White Oak,0.5,0.812,0.188,10.51,17.34,24.28,Wood,
FC-110VC,FC Charcoal #110 White Oak,0.5,0.812,0.188,,,30.38,Wood,
110VM,Mission #110 White Oak,0.5,0.812,0.188,10.51,17.34,24.28,Wood,
FC-110VM,FC Mission #110 White Oak,0.5,0.812,0.188,,,30.38,Wood,
110V7,Bleached #110 White Oak,0.5,0.812,0.188,10.51,17.34,24.28,Wood,
FC-110V7,FC Bleached #110 White Oak,0.5,0.812,0.188,,,30.38,Wood,
120AR,Raw #120 Ash,0.5,1.062,0.188,3.37,4.79,7.66,Wood,
FC-120AR,FC Raw #120 Ash,0.5,1.062,0.188,,,24.04,Wood,
120AF,Oil & Wax #120 Ash,0.5,1.062,0.188,6.63,9.41,13.17,Wood,
FC-120AF,FC Oil & Wax #120 Ash,0.5,1.062,0.188,,,24.73,Wood,
120AL,Clear Lacquer #120 Ash,0.5,1.062,0.188,7.17,10.18,14.25,Wood,
FC-120AL,FC Clear Lacquer #120 Ash,0.5,1.062,0.188,,,24.73,Wood,
120AW,WhiteWash #120 Ash,0.5,1.062,0.188,9.07,12.88,18.03,Wood,
FC-120AW,FC WhiteWash #120 Ash,0.5,1.062,0.188,,,25.42,Wood,
120AT,White #120 Ash,0.5,1.062,0.188,9.07,12.88,18.03,Wood,
FC-120AT,FC White #120 Ash,0.5,1.062,0.188,,,26.79,Wood,
120AK,Satin Black #120 Ash,0.5,1.062,0.188,9.07,12.88,18.03,Wood,
FC-120AK,FC Satin Black #120 Ash,0.5,1.062,0.188,,,26.79,Wood,
120AA,Warm White #120 Ash,0.5,1.062,0.188,9.07,12.88,18.03,Wood,
FC-120AA,FC Warm White #120 Ash,0.5,1.062,0.188,,,26.79,Wood,
120AC,Charcoal #120 Ash,0.5,1.062,0.188,9.07,12.88,18.03,Wood,
FC-120AC,FC Charcoal #120 Ash,0.5,1.062,0.188,,,26.79,Wood,
120AI,Rising White #120 Ash,0.5,1.062,0.188,9.07,12.88,18.03,Wood,
FC-120AI,FC Rising White #120 Ash,0.5,1.062,0.188,,,26.79,Wood,
120A1,Light Grey #120 Ash,0.5,1.062,0.188,9.07,12.88,18.03,Wood,
FC-120A1,FC Light Grey #120 Ash,0.5,1.062,0.188,,,26.79,Wood,
120A2,Medium Grey #120 Ash,0.5,1.062,0.188,9.07,12.88,18.03,Wood,
FC-120A2,FC Medium Grey #120 Ash,0.5,1.062,0.188,,,26.79,Wood,
120A3,Dark Grey #120 Ash,0.5,1.062,0.188,9.07,12.88,18.03,Wood,
FC-120A3,FC Dark Grey #120 Ash,0.5,1.062,0.188,,,26.79,Wood,
120CR,Raw #120 Cherry,0.5,1.062,0.188,3.61,5.27,8.43,Wood,
FC-120CR,FC Raw #120 Cherry,0.5,1.062,0.188,,,24.52,Wood,
120CF,Oil & Wax #120 Cherry,0.5,1.062,0.188,7.14,10.42,14.59,Wood,
